features_idx,not_features_idx,tracks,artists,Score,track_artist,song_writer
17,848,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,849,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,850,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,851,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,852,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,853,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,854,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,855,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,856,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,857,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,858,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,859,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,860,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,861,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,862,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,863,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
17,864,1.0,1.0,2.0,Pokémon Theme_Pokémon,Pokemon Theme_Pokémon
52,2740,1.0,1.0,2.0,Crushin'_Film School,Crushin_Film School
52,2741,1.0,1.0,2.0,Crushin'_Film School,Crushin_Film School
62,2992,1.0,1.0,2.0,16 /04 / 16 (jack’s Song)_Cavetown,16 / 04 / 16 (jack's Song)_Cavetown
62,2993,1.0,1.0,2.0,16 /04 / 16 (jack’s Song)_Cavetown,16 / 04 / 16 (jack's Song)_Cavetown
62,2994,1.0,1.0,2.0,16 /04 / 16 (jack’s Song)_Cavetown,16 / 04 / 16 (jack's Song)_Cavetown
79,3296,1.0,1.0,2.0,"100 Days, 100 Nights_Sharon Jones & The Dap-kings","100 Days, 100 Nights_Sharon Jones And The Dap-kings"
107,3685,1.0,1.0,2.0,Relevant Symmetry Ii - Original Mix_Muui,Relevant Symmetry I - Original Mix_Muui
108,3686,1.0,1.0,2.0,"Ash Sync - Air, Alex Gopher & Etienne De Crécy Version_Étienne De Crécy","Ash Sync - Air, Alex Gopher & Etienne De Crécy Version_Etienne De Crécy"
110,3709,1.0,1.0,2.0,Valerie`s Friend_Gazpacho,Valerie's Friend_Gazpacho
114,3730,1.0,1.0,2.0,Green Onions_Booker T. & The M.g.'s,Green Onions_Booker T. & The Mg's
137,4013,1.0,1.0,2.0,Luv(sic.) Pt3 (feat. Shing02)_Nujabes,Luv (sic.) Pt3 (feat. Shing02)_Nujabes
152,4273,1.0,1.0,2.0,Tumble’s Lullaby_Kyle Mcevoy,Tumble's Lullaby_Kyle Mcevoy
