level_0,level_1,tracks,artists,Score
0,0,1.0,0.0,1.0
0,1,1.0,0.0,1.0
0,2,1.0,0.0,1.0
0,9460,0.0,1.0,1.0
1,176,1.0,0.0,1.0
1,177,1.0,0.0,1.0
1,178,1.0,0.0,1.0
1,9460,0.0,1.0,1.0
1,14567,1.0,0.0,1.0
1,14568,1.0,0.0,1.0
1,14569,1.0,0.0,1.0
1,14570,1.0,0.0,1.0
1,14571,1.0,0.0,1.0
1,14572,1.0,0.0,1.0
1,14573,1.0,0.0,1.0
1,14574,1.0,0.0,1.0
1,14575,1.0,0.0,1.0
1,14576,1.0,0.0,1.0
1,14577,1.0,0.0,1.0
2,179,1.0,0.0,1.0
2,180,1.0,0.0,1.0
3,193,0.0,1.0,1.0
4,196,1.0,0.0,1.0
4,9460,0.0,1.0,1.0
6,202,0.0,1.0,1.0
6,203,0.0,1.0,1.0
6,204,0.0,1.0,1.0
6,205,0.0,1.0,1.0
6,206,1.0,0.0,1.0
7,248,1.0,0.0,1.0
7,249,1.0,0.0,1.0
7,250,1.0,0.0,1.0
7,251,1.0,0.0,1.0
7,252,1.0,0.0,1.0
7,253,1.0,0.0,1.0
7,254,1.0,0.0,1.0
7,255,1.0,0.0,1.0
7,256,1.0,0.0,1.0
7,257,1.0,0.0,1.0
7,258,1.0,0.0,1.0
7,259,1.0,0.0,1.0
7,260,1.0,0.0,1.0
7,261,1.0,0.0,1.0
7,262,1.0,0.0,1.0
7,263,1.0,0.0,1.0
7,264,1.0,0.0,1.0
7,265,1.0,0.0,1.0
7,266,1.0,0.0,1.0
7,267,1.0,0.0,1.0
7,268,1.0,0.0,1.0
7,269,1.0,0.0,1.0
7,270,1.0,0.0,1.0
7,271,1.0,0.0,1.0
7,272,1.0,0.0,1.0
7,273,1.0,0.0,1.0
7,274,1.0,0.0,1.0
7,275,1.0,0.0,1.0
7,276,1.0,0.0,1.0
7,277,1.0,0.0,1.0
7,278,1.0,0.0,1.0
7,279,1.0,0.0,1.0
7,280,1.0,0.0,1.0
7,281,1.0,0.0,1.0
7,282,1.0,0.0,1.0
7,283,1.0,0.0,1.0
7,284,1.0,0.0,1.0
7,285,1.0,0.0,1.0
7,286,1.0,0.0,1.0
7,287,1.0,0.0,1.0
7,288,1.0,0.0,1.0
7,289,1.0,0.0,1.0
7,7891,1.0,0.0,1.0
7,7892,1.0,0.0,1.0
7,7893,1.0,0.0,1.0
7,7894,1.0,0.0,1.0
7,9460,0.0,1.0,1.0
8,290,1.0,0.0,1.0
8,291,1.0,0.0,1.0
8,292,1.0,0.0,1.0
8,293,1.0,0.0,1.0
8,294,1.0,0.0,1.0
8,295,1.0,0.0,1.0
8,296,1.0,0.0,1.0
8,297,1.0,0.0,1.0
8,298,1.0,0.0,1.0
8,299,1.0,0.0,1.0
8,300,1.0,0.0,1.0
8,301,1.0,0.0,1.0
8,302,1.0,0.0,1.0
8,303,1.0,0.0,1.0
8,304,1.0,0.0,1.0
8,305,1.0,0.0,1.0
8,306,1.0,0.0,1.0
8,307,1.0,0.0,1.0
8,308,1.0,0.0,1.0
8,309,1.0,0.0,1.0
8,310,1.0,0.0,1.0
8,311,1.0,0.0,1.0
8,312,1.0,0.0,1.0
8,313,1.0,0.0,1.0
8,314,1.0,0.0,1.0
8,315,1.0,0.0,1.0
8,316,1.0,0.0,1.0
8,317,1.0,0.0,1.0
8,318,1.0,0.0,1.0
8,319,1.0,0.0,1.0
8,320,1.0,0.0,1.0
8,321,1.0,0.0,1.0
8,322,1.0,0.0,1.0
8,323,1.0,0.0,1.0
8,324,1.0,0.0,1.0
8,325,1.0,0.0,1.0
8,326,1.0,0.0,1.0
8,327,1.0,0.0,1.0
8,328,1.0,0.0,1.0
8,329,1.0,0.0,1.0
8,330,1.0,0.0,1.0
8,331,1.0,0.0,1.0
8,332,1.0,0.0,1.0
8,333,1.0,0.0,1.0
8,334,1.0,0.0,1.0
8,335,1.0,0.0,1.0
8,336,1.0,0.0,1.0
8,337,1.0,0.0,1.0
8,338,1.0,0.0,1.0
8,339,1.0,0.0,1.0
8,340,1.0,0.0,1.0
8,341,1.0,0.0,1.0
8,342,1.0,0.0,1.0
8,343,1.0,0.0,1.0
8,344,1.0,0.0,1.0
8,345,1.0,0.0,1.0
8,346,1.0,0.0,1.0
8,347,1.0,0.0,1.0
8,348,1.0,0.0,1.0
8,349,1.0,0.0,1.0
8,350,1.0,0.0,1.0
