artist,track,datetime,artist_x,artist_y,track_alt,album,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Postal Service,Such Great Heights,3/4/2020 10:27,Ben Folds,Various Artists,Such Great Heights,triple j Like A Version,9/29/2017,[],242343,37,0.534,0.907,5,-7.687,1,0.087,0.0116,0.0482,0.0567,0.791,176.867,4
Ben Folds,Such Great Heights,1/7/2019 10:40,The Postal Service,Various Artists,Such Great Heights,triple j Like A Version,9/29/2017,[],242343,37,0.534,0.907,5,-7.687,1,0.087,0.0116,0.0482,0.0567,0.791,176.867,4
Vince Staples,Home,1/22/2020 18:12,Try Not To Cry,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,1/22/2020 18:12,Filtercopy,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,1/22/2020 18:12,Blackmill,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,10/2/2019 22:01,Try Not To Cry,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,10/2/2019 22:01,Filtercopy,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,10/2/2019 22:01,Blackmill,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,9/28/2019 23:57,Try Not To Cry,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
Vince Staples,Home,9/28/2019 23:57,Filtercopy,Various Artists,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,[],211360,64,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
