,name,album,artist,release_date,length,popularity,danceability,energy,key,loudness,mode,speech,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Still Feel Like Your Man,The Search for Everything,John Mayer,2017-04-14,234920,64,0.858,0.6,2,-6.677,1,0.063,0.547,0.00113,0.132,0.513,106.023,4
1,Emoji of a Wave,The Search for Everything,John Mayer,2017-04-14,239666,62,0.494,0.365,11,-8.92,1,0.0279,0.771,0.000978,0.139,0.191,165.766,4
2,Helpless,The Search for Everything,John Mayer,2017-04-14,249120,60,0.761,0.598,9,-5.838,0,0.0268,0.151,0.00259,0.0314,0.937,103.978,4
3,Love on the Weekend,The Search for Everything,John Mayer,2017-04-14,212320,66,0.718,0.583,7,-7.884,1,0.0288,0.623,0.000662,0.0612,0.422,119.97,4
4,In the Blood,The Search for Everything,John Mayer,2017-04-14,243666,65,0.546,0.657,8,-6.526,1,0.0255,0.386,1.03e-05,0.0983,0.52,80.007,4
5,Changing,The Search for Everything,John Mayer,2017-04-14,213080,58,0.444,0.336,0,-7.778,1,0.0282,0.587,0.00274,0.132,0.392,183.345,3
6,"Theme from ""The Search for Everything""",The Search for Everything,John Mayer,2017-04-14,111773,54,0.595,0.337,7,-11.06,1,0.0263,0.897,0.935,0.121,0.362,90.973,4
7,Moving On and Getting Over,The Search for Everything,John Mayer,2017-04-14,265360,62,0.85,0.461,6,-9.018,0,0.0539,0.591,0.0409,0.1,0.628,94.038,4
8,Never on the Day You Leave,The Search for Everything,John Mayer,2017-04-14,220866,59,0.535,0.354,2,-8.61,1,0.026,0.73,1.24e-05,0.138,0.22,139.889,4
9,Rosie,The Search for Everything,John Mayer,2017-04-14,240626,62,0.758,0.465,7,-6.547,1,0.0374,0.489,5.21e-05,0.116,0.759,138.902,4
10,Roll it on Home,The Search for Everything,John Mayer,2017-04-14,202813,57,0.611,0.696,2,-6.737,1,0.0302,0.624,0.014,0.124,0.706,154.954,4
11,You're Gonna Live Forever in Me,The Search for Everything,John Mayer,2017-04-14,190013,64,0.538,0.131,7,-14.104,1,0.0316,0.983,0.00522,0.156,0.32,136.149,4
12,Wildfire,Paradise Valley,John Mayer,2013-08-20,253493,63,0.719,0.665,8,-8.589,1,0.0331,0.15,0.00092,0.144,0.763,96.999,4
13,Dear Marie,Paradise Valley,John Mayer,2013-08-20,222720,60,0.601,0.36,9,-10.909,1,0.0262,0.796,0.437,0.0883,0.494,94.999,4
14,Waitin' On The Day,Paradise Valley,John Mayer,2013-08-20,273066,57,0.656,0.438,7,-8.631,1,0.0282,0.797,0.0522,0.142,0.305,119.996,4
15,Paper Doll,Paradise Valley,John Mayer,2013-08-20,257386,60,0.658,0.475,7,-11.703,1,0.0292,0.521,0.0067,0.176,0.685,153.851,4
16,Call Me The Breeze,Paradise Valley,John Mayer,2013-08-20,205360,51,0.628,0.662,1,-9.731,0,0.0463,0.424,0.252,0.0781,0.892,174.096,4
17,Who You Love (feat. Katy Perry),Paradise Valley,John Mayer,2013-08-20,249933,64,0.694,0.351,9,-10.92,1,0.0382,0.813,0.00165,0.097,0.691,145.907,4
18,I Will Be Found (Lost At Sea),Paradise Valley,John Mayer,2013-08-20,241346,57,0.563,0.401,5,-9.073,1,0.0243,0.415,0.00305,0.158,0.277,139.863,4
19,Wildfire (feat. Frank Ocean),Paradise Valley,John Mayer,2013-08-20,85840,56,0.505,0.119,7,-17.252,1,0.0425,0.893,0.0,0.198,0.371,85.953,4
20,You're No One 'Til Someone Lets You Down,Paradise Valley,John Mayer,2013-08-20,165000,47,0.578,0.501,0,-12.01,1,0.0296,0.306,0.000139,0.209,0.807,96.122,4
21,Badge And Gun,Paradise Valley,John Mayer,2013-08-20,192306,48,0.611,0.259,7,-12.069,1,0.0302,0.863,0.0,0.108,0.429,128.89,4
22,On The Way Home,Paradise Valley,John Mayer,2013-08-20,239546,49,0.0,0.0721,2,-22.48,1,0.0,0.618,0.694,0.0,0.0,0.0,0
23,Queen of California,Born and Raised,John Mayer,2012-05-18,250133,61,0.536,0.738,4,-11.02,1,0.031,0.638,0.446,0.0736,0.707,83.048,4
24,The Age of Worry,Born and Raised,John Mayer,2012-05-18,157586,55,0.508,0.362,7,-9.24,1,0.0251,0.342,4.48e-05,0.146,0.294,67.339,4
25,Shadow Days,Born and Raised,John Mayer,2012-05-18,228173,56,0.52,0.559,2,-9.615,1,0.0254,0.0736,0.349,0.116,0.254,146.944,4
26,Speak For Me,Born and Raised,John Mayer,2012-05-18,224680,48,0.687,0.379,9,-11.473,1,0.0284,0.572,0.0104,0.129,0.173,112.951,4
27,Something Like Olivia,Born and Raised,John Mayer,2012-05-18,180626,59,0.771,0.424,7,-12.156,1,0.0374,0.595,0.000372,0.0788,0.638,98.795,4
28,Born and Raised,Born and Raised,John Mayer,2012-05-18,287640,58,0.656,0.375,0,-9.205,1,0.0248,0.355,0.0069,0.279,0.313,131.8,4
29,If I Ever Get Around To Living,Born and Raised,John Mayer,2012-05-18,321720,50,0.559,0.468,0,-12.738,1,0.0284,0.532,0.129,0.257,0.316,80.014,4
30,Love Is A Verb,Born and Raised,John Mayer,2012-05-18,144400,56,0.738,0.284,9,-12.0,1,0.0425,0.445,0.00129,0.119,0.461,65.977,4
