artist,album,track_name,track_id,popularity,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,reverb
Barrie,Happy To Be Here,Geology,4qCfbDTCrFnfG5fYngu2wE,50,"['brooklyn indie', 'indie pop', 'indie rock', 'vapor soul']",0.69,0.721,4,-8.437000000000001,1,0.0323,0.649,0.125,0.35700000000000004,104.027,268120,4,1
"Astronauts, etc.",Mind Out Wandering,Up for Grabs,2gyXXC4IMj8K4HfUNUvqKO,27,"['bay area indie', 'shiver pop']",0.539,0.525,5,-10.91,1,0.0285,0.23399999999999999,0.105,0.535,175.972,176627,4,1
CASTLEBEAT,CASTLEBEAT,Change Your Mind,4omurqpm7aWH9VVz2Ii4yO,54,"['bedroom pop', 'indie garage rock', 'indie pop', 'indie surf']",0.384,0.578,11,-9.624,1,0.0312,0.8859999999999999,0.125,0.0984,150.013,297273,4,1
You'll Never Get to Heaven,Images,Beyond the Clouds,6vMaCzTnismT6N45MDCMfa,41,"['ambient pop', 'london on indie', 'nu gaze']",0.633,0.575,7,-9.667,0,0.0298,0.924,0.105,0.239,117.52,248681,4,1
Day Wave,Drag,Drag,0oXwUeFAE6IR2lYhaTpxRT,59,"['bay area indie', 'chillwave', 'indie pop', 'indie poptimism', 'indie rock', 'oakland indie', 'shimmer pop']",0.537,0.713,7,-6.25,1,0.0272,0.65,0.1,0.36700000000000005,93.198,189651,4,1
Voka Gentle,Branscombe,Branscombe,4mrOXzvbS0U0KsX7O6OqIo,44,[],0.556,0.389,7,-15.394,1,0.028999999999999998,0.887,0.111,0.0865,111.012,439478,4,1
Acid Ghost,All Alone,All Alone,72xnRXxHiAhTfKSzlPdEmo,57,['indie garage rock'],0.509,0.588,0,-9.542,1,0.0298,0.845,0.115,0.48700000000000004,171.845,168648,4,1
The F16s,Amber,Amber,62bHWlIlUW6fbwBO29h64H,43,"['chennai indie', 'indian indie', 'indian rock']",0.299,0.46799999999999997,2,-10.777000000000001,1,0.0259,0.77,0.22399999999999998,0.593,95.069,206704,4,1
The Shutes,Echo of Love,Bright Blue Berlin Sky,6P30NMoLLzWTuue4faRjsd,45,['isle of wight indie'],0.534,0.626,6,-8.549,0,0.0288,0.0345,0.109,0.377,120.92,344633,4,1
Electric Youth,Memory Emotion,Breathless,6bgUlpf4HVpuTdo5LuBTov,36,"['filter house', 'popwave', 'synthwave']",0.618,0.623,2,-7.899,1,0.0267,0.841,0.102,0.33299999999999996,97.984,271683,4,1
