,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,half•alive,still feel.,still feel.,4EcYqXGZ1MOl7gBLcRO9Ya,0.779,0.525,10,-5.756,0,0.0487,0,0.0675,0.698,120.018,247438,4
1,Better Oblivion Community Center,Better Oblivion Community Center,Service Road,0AODUbeAlQFw4jsyoWtB6U,0.54,0.548,0,-10.303,1,0.0405,3.84e-05,0.135,0.525,83.876,224333,4
2,Beeches,Famous Friends,Blackbird,0JkSXJb0s0UG8sazEhUSxF,0.512,0.418,8,-12.131,1,0.0271,0.0234,0.112,0.592,85.031,229059,4
3,The Paper Kites,twelvefour,Bleed Confusion,5cEmrGyQcCjzC994LocIjs,0.56,0.406,2,-11.134,1,0.031,0.612,0.108,0.0644,74.994,261027,4
4,Elliott Smith,Either/Or: Expanded Edition,Pictures of Me - Live,2wMFRRLOnHwPJIszMVkUhi,0.471,0.299,3,-10.007,0,0.0635,0,0.127,0.285,139.664,238211,4
5,Various Artists,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,Heart Like Yours,6yaHCAtl9kA0K3FMumR2ph,0.497,0.259,7,-9.782,1,0.033,0,0.102,0.338,140.117,200560,3
6,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,11,-8.322,1,0.0468,0,0.105,0.718,150.953,242187,4
7,OK Go,Of the Blue Colour of the Sky (Extra Nice Edition),Shooting The Moon,4StBMIFXJl9ObFMdeEQD6S,0.305,0.763,6,-7.551,1,0.0528,0.00143,0.226,0.55,146.685,200773,3
8,Red Hot Chili Peppers,Stadium Arcadium,Hard to Concentrate,37kTASujIfZZ27NV7PfIrf,0.641,0.502,7,-7.334,1,0.0251,4.35e-06,0.311,0.326,105.634,241840,4
9,The Kooks,Junk Of The Heart,Junk Of The Heart (Happy),5p50gxcAYYeWPrBVEPHgUt,0.604,0.894,2,-5.0,1,0.037,0,0.0299,0.901,145.017,187253,4
10,The Ransom Collective,Traces,Open Road,1fi8KOnEM6Jz9moa2yGFgQ,0.705,0.83,7,-6.082,1,0.0284,0.0154,0.21,0.438,125.99,253131,4
11,Lenka,Two,Everything at Once,6iZxpy5Z0BztLHsWE8cSzD,0.767,0.484,0,-8.005,1,0.0659,0.00649,0.415,0.842,145.033,157600,4
12,Lorde,Melodrama,Supercut,6IIcLzR05sN1gk4ngzz7Kk,0.562,0.437,0,-10.229,1,0.052,2.18e-05,0.0806,0.15,124.852,277506,4
13,khai dreams,Time to Time,Time to Time,4SyNqGP66aYZjtSePnZ3Le,0.567,0.16,11,-16.466,1,0.157,0,0.104,0.807,125.492,133895,5
14,Oh Wonder,Oh Wonder,Without You,0IVHlst3XMgzXUJbIyZ8oO,0.639,0.465,11,-7.247,0,0.0696,1.45e-06,0.124,0.319,86.994,224740,4
