name,playcount,listeners,mbid,url,streamable,tags
Coldplay,378637547,5586348,cc197bad-dc9c-440d-a5b5-d52ba2e14234,https://www.last.fm/music/Coldplay,0,"rock, alternative, britpop"
Radiohead,531866332,4915128,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,0,"alternative, alternative rock, rock"
Rihanna,218380083,4798610,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,https://www.last.fm/music/Rihanna,0,"pop, rnb, female vocalists"
Red Hot Chili Peppers,310038207,4787749,8bfac288-ccc5-448d-9573-c33ea2aa5c30,https://www.last.fm/music/Red+Hot+Chili+Peppers,0,"rock, alternative rock, alternative"
Eminem,222715169,4741473,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,https://www.last.fm/music/Eminem,0,"rap, Hip-Hop, Eminem"
Kanye West,302868003,4648531,164f0d73-1234-4e2c-8743-d77bf2191051,https://www.last.fm/music/Kanye+West,0,"Hip-Hop, rap, hip hop"
The Killers,221800474,4601167,95e1ead9-4d31-4808-a7ac-32c3614c116b,https://www.last.fm/music/The+Killers,0,"indie, rock, indie rock"
Nirvana,237266057,4452950,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,https://www.last.fm/music/Nirvana,0,"Grunge, rock, alternative"
Queen,211643683,4245350,420ca290-76c5-41af-999e-564d7c71f1a7,https://www.last.fm/music/Queen,0,"classic rock, rock, 80s"
Muse,359386937,4215559,fd857293-5ab8-40de-b29e-55a69d4e4d0f,https://www.last.fm/music/Muse,0,"alternative rock, rock, alternative"
Linkin Park,311898446,4131701,f59c5520-5f46-4d2c-b2c4-822eabf53419,https://www.last.fm/music/Linkin+Park,0,"rock, Nu Metal, alternative rock"
Foo Fighters,203561574,4124733,67f66c07-6e61-4026-ade5-7e782fad3a5d,https://www.last.fm/music/Foo+Fighters,0,"rock, alternative rock, Grunge"
Lady Gaga,341894974,4086444,650e7db6-b795-4eb5-a702-5ea2fc46c848,https://www.last.fm/music/Lady+Gaga,0,"pop, dance, electronic"
Katy Perry,169467978,3964430,122d63fc-8671-43e4-9752-34e846d62a9c,https://www.last.fm/music/Katy+Perry,0,"pop, female vocalists, pop rock"
The Rolling Stones,165277655,3963178,b071f9fa-14b0-4217-8e97-eb41da73f598,https://www.last.fm/music/The+Rolling+Stones,0,"classic rock, rock, british"
Daft Punk,220624225,3950928,056e4f3e-d505-4dad-8ec1-d04f521cbb56,https://www.last.fm/music/Daft+Punk,0,"electronic, dance, House"
Green Day,201511278,3919976,084308bd-1654-436f-ba03-df6697104e19,https://www.last.fm/music/Green+Day,0,"punk rock, rock, punk"
The Beatles,555816784,3891032,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles,0,"classic rock, rock, british"
Beyoncé,183343751,3793675,859d0860-d480-4efd-970c-c05d5f1776b8,https://www.last.fm/music/Beyonc%C3%A9,0,"rnb, pop, female vocalists"
Gorillaz,186787511,3773488,e21857d5-3256-4547-afb3-4b6ded592596,https://www.last.fm/music/Gorillaz,0,"alternative, electronic, Hip-Hop"
Oasis,159724451,3738870,ecf9f3a3-35e9-4c58-acaa-e707fba45060,https://www.last.fm/music/Oasis,0,"britpop, rock, british"
Michael Jackson,140009173,3729135,f27ec8db-af05-4f36-916e-3d57f91ecf5e,https://www.last.fm/music/Michael+Jackson,0,"pop, 80s, dance"
Maroon 5,126696871,3710195,0ab49580-c84f-44d4-875f-d83760ea2cfe,https://www.last.fm/music/Maroon+5,0,"rock, pop, pop rock"
Arctic Monkeys,359103662,3697663,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,0,"indie rock, indie, british"
Drake,174434541,3632728,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,0,"Hip-Hop, rap, rnb"
System of a Down,237662657,3612979,cc0b7089-c08d-4c10-b6b0-873582c17fd6,https://www.last.fm/music/System+of+a+Down,0,"metal, alternative metal, rock"
U2,149351344,3601482,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,https://www.last.fm/music/U2,0,"rock, classic rock, irish"
Kings of Leon,174666844,3544219,6ffb8ea9-2370-44d8-b678-e9237bbd347b,https://www.last.fm/music/Kings+of+Leon,0,"rock, indie, indie rock"
Black Eyed Peas,75942573,3542094,d5be5333-4171-427e-8e12-732087c6b78e,https://www.last.fm/music/Black+Eyed+Peas,0,"Hip-Hop, pop, rnb"
David Bowie,210988790,3532325,5441c29d-3602-4898-b1a1-b77fa23b8e50,https://www.last.fm/music/David+Bowie,0,"rock, glam rock, classic rock"
Britney Spears,217465884,3451498,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,https://www.last.fm/music/Britney+Spears,0,"pop, dance, female vocalists"
The Strokes,187096874,3422756,f181961b-20f7-459e-89de-920ef03c7ed0,https://www.last.fm/music/The+Strokes,0,"indie rock, rock, indie"
Lil' Wayne,83794150,3384265,,https://www.last.fm/music/Lil%27+Wayne,0,"rap, Hip-Hop, Dirty South"
Guns N' Roses,121946649,3368628,eeb1195b-f213-4ce1-b28c-8565211f8e43,https://www.last.fm/music/Guns+N%27+Roses,0,"hard rock, rock, classic rock"
Jay-Z,93218698,3345106,f82bcf78-5b69-4622-a5ef-73800768d9ac,https://www.last.fm/music/Jay-Z,0,"Hip-Hop, rap, hip hop"
The Doors,140648492,3310274,9efff43b-3b29-4082-824e-bc82f646f93d,https://www.last.fm/music/The+Doors,0,"classic rock, Psychedelic Rock, rock"
Franz Ferdinand,116875539,3290874,aa7a2827-f74b-473c-bd79-03d065835cf7,https://www.last.fm/music/Franz+Ferdinand,0,"indie, indie rock, rock"
Madonna,172378705,3276406,79239441-bfd5-4981-a70c-55c3f15c1287,https://www.last.fm/music/Madonna,0,"pop, dance, female vocalists"
Pink Floyd,334928434,3254004,83d91898-7763-47d7-b03b-b92132375c47,https://www.last.fm/music/Pink+Floyd,0,"Progressive rock, classic rock, Psychedelic Rock"
Weezer,115730603,3192053,6fe07aa5-fec0-4eca-a456-f29bff451b04,https://www.last.fm/music/Weezer,0,"rock, alternative, alternative rock"
blink-182,188858599,3118702,0743b15a-3c32-48c8-ad58-cb325350befa,https://www.last.fm/music/blink-182,0,"punk rock, pop punk, punk"
The Cure,169862922,3093527,69ee3720-a7cb-4402-b48d-a02c366f2bcf,https://www.last.fm/music/The+Cure,0,"post-punk, new wave, alternative"
Led Zeppelin,200216691,3085551,d6e0e274-8e19-44ce-b5b2-52c12f8a674a,https://www.last.fm/music/Led+Zeppelin,0,"classic rock, rock, hard rock"
The White Stripes,132098163,3084203,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,https://www.last.fm/music/The+White+Stripes,0,"rock, alternative, alternative rock"
Snow Patrol,91612213,3068399,a66999a7-ae5c-460e-ba94-1a01143ae847,https://www.last.fm/music/Snow+Patrol,0,"indie, alternative, rock"
Beck,107325622,3027348,a8baaa41-50f1-4f63-979e-717c14979dfb,https://www.last.fm/music/Beck,0,"alternative, indie, rock"
Metallica,296030994,3024300,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,https://www.last.fm/music/Metallica,0,"thrash metal, metal, heavy metal"
Adele,135873453,3024114,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,https://www.last.fm/music/Adele,0,"soul, female vocalists, british"
Aerosmith,76032469,3022409,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,https://www.last.fm/music/Aerosmith,0,"rock, classic rock, hard rock"
R.E.M.,99129936,3005106,ea4dfa26-f633-4da6-a52a-f49ea4897b58,https://www.last.fm/music/R.E.M.,0,"rock, alternative rock, alternative"
The Offspring,129538963,3002184,23a03e33-a603-404e-bcbf-2c00159d7067,https://www.last.fm/music/The+Offspring,0,"punk rock, punk, rock"
Blur,95180656,2994504,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,https://www.last.fm/music/Blur,0,"britpop, rock, indie"
Justin Timberlake,78393183,2971031,596ffa74-3d08-44ef-b113-765d43d12738,https://www.last.fm/music/Justin+Timberlake,0,"pop, rnb, dance"
MGMT,105065701,2960960,c485632c-b784-4ee9-8ea1-c5fb365681fc,https://www.last.fm/music/MGMT,0,"electronic, indie, psychedelic"
Rage Against the Machine,96403210,2953400,3798b104-01cb-484c-a3b0-56adc6399b80,https://www.last.fm/music/Rage+Against+the+Machine,0,"rock, alternative rock, alternative"
David Guetta,94978292,2950719,302bd7b9-d012-4360-897a-93b00c855680,https://www.last.fm/music/David+Guetta,0,"House, dance, electronic"
The Smashing Pumpkins,133359733,2928656,ba0d6274-db14-4ef5-b28d-657ebde1a396,https://www.last.fm/music/The+Smashing+Pumpkins,0,"alternative rock, rock, alternative"
Death Cab for Cutie,172924627,2923414,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,https://www.last.fm/music/Death+Cab+for+Cutie,0,"indie, indie rock, alternative"
Nickelback,86970188,2915605,bc710bcf-8815-42cf-bad2-3f1d12246aeb,https://www.last.fm/music/Nickelback,0,"rock, alternative rock, hard rock"
Johnny Cash,109723762,2908321,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,https://www.last.fm/music/Johnny+Cash,0,"country, folk, singer-songwriter"
Christina Aguilera,135136487,2905895,b202beb7-99bd-47e7-8b72-195c8d72ebdd,https://www.last.fm/music/Christina+Aguilera,0,"pop, female vocalists, soul"
The Who,77568464,2885407,f2fa2f0c-b6d7-4d09-be35-910c110bb342,https://www.last.fm/music/The+Who,0,"classic rock, rock, british"
Fall Out Boy,157822941,2884154,516cef4d-0718-4007-9939-f9b38af3f784,https://www.last.fm/music/Fall+Out+Boy,0,"pop punk, rock, emo"
Jimi Hendrix,77627915,2848387,06fb1c8b-566e-4cb2-985b-b467c90781d4,https://www.last.fm/music/Jimi+Hendrix,0,"classic rock, rock, blues"
AC/DC,142264873,2829592,66c662b6-6e2f-4930-8610-912e24c63ed1,https://www.last.fm/music/AC%2FDC,0,"hard rock, classic rock, rock"
Pearl Jam,153282829,2822746,83b9cbe7-9857-49e2-ab8e-b57b01038103,https://www.last.fm/music/Pearl+Jam,0,"Grunge, rock, alternative rock"
Depeche Mode,174767147,2800875,8538e728-ca0b-4321-b7e5-cff6565dd4c0,https://www.last.fm/music/Depeche+Mode,0,"electronic, new wave, 80s"
Usher,41738493,2790718,3414d446-735a-443c-931f-10634f57e5b9,https://www.last.fm/music/Usher,0,"rnb, Hip-Hop, pop"
Chris Brown,54512923,2788405,c234fa42-e6a6-443e-937e-2f4b073538a3,https://www.last.fm/music/Chris+Brown,0,"rnb, Hip-Hop, Chris Brown"
