,artist,play_count
0,John Mayer,6920
1,Radiohead,6010
2,Porcupine Tree,2146
3,The Paper Kites,1876
4,Steven Wilson,1702
5,The Seatbelts,1473
6,Blackfield,1455
7,Tycho,1245
8,Muse,1114
9,Red Hot Chili Peppers,1083
10,The Killers,1027
11,The Pineapple Thief,1011
12,::M∆DE::IN::HEIGHTS::,987
13,City and Colour,842
14,Owl City,823
15,The Midnight,710
16,Eden,651
17,Alvvays,644
18,Bryan Adams,571
19,The xx,531
20,Oh Wonder,479
21,Tomohito Nishiura,440
22,Brolly,434
23,The Kooks,429
24,Cake,415
25,Portishead,410
26,Ray LaMontagne,383
27,Gorillaz,378
28,Arctic Monkeys,355
29,Adam Young,347
30,Panic! at the Disco,319
31,Clem Leek,315
32,Daniel Ferri,301
33,Alexi Murdoch,292
34,Benjamin Francis Leftwich,277
35,Bastille,272
36,Crywolf,268
37,Sufjan Stevens,255
38,John Mayer Trio,242
39,Chequerboard,240
40,Eminem,234
41,White Moth Black Butterfly,234
42,Julian Lage,229
43,The Script,229
44,Pokémon,224
45,The Glitch Mob,224
46,Hammock,211
47,HAUX,208
48,Shankar-Ehsaan-Loy,204
49,Massive Attack,194
50,Maximum Love,193
51,SIE Sound Team,189
52,Sea Wolf,182
53,Iron & Wine,181
54,RADWIMPS,175
55,Emancipator,172
56,Magic Man,172
57,The Flaming Lips,172
58,Hydrogen Sea,171
59,Melissa Benoist,171
60,A R I Z O N A,165
61,The Wombats,158
62,Echoes,156
63,Arcade Fire,154
64,Christopher Larkin,154
65,Pink Floyd,153
66,ODESZA,151
67,Daft Punk,150
68,검정치마,150
69,Sky Sailing,146
70,Jane XØ,141
71,Marcin Przybyłowicz,141
72,Blue Foundation,138
73,Enrique Iglesias,138
74,Jaymes Young,138
75,Berlinist,137
76,Unday Records,136
77,ADOY,135
78,XYLØ,135
79,Linkin Park,131
80,Lights & Motion,130
81,Wintergatan,128
82,Billie Eilish,127
83,Joywave,126
84,Ramin Djawadi,126
85,Sigur Rós,123
86,Toby Fox,122
87,Hippo Campus,120
88,Yoshimori Makoto,120
89,Brandon Flowers,116
90,Mazzy Star,115
91,Jet,114
92,Koda,114
93,B-Tribe,113
94,Cigarettes After Sex,113
95,The Milk Carton Kids,113
96,a-ha,112
97,Mogwai,112
98,Amit Trivedi,111
99,菅野よう子,109
100,キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann),107
101,Lucy Rose,105
102,William Fitzsimmons,105
103,Above & Beyond,104
104,ConcernedApe,101
105,Phoria,101
106,Beach House,100
107,Cage the Elephant,100
108,Bon Iver,99
109,Lorde,99
110,Broken Bells,98
111,Jack Johnson,98
112,Lauv,97
113,half•alive,96
114,No-Man,96
115,Illenium,95
116,The Temper Trap,94
117,Elliott Smith,93
118,Explosions in the Sky,92
119,Phoenix,91
120,Parachute,89
121,The Antlers,89
122,Blur,88
123,Headphone Activist,88
124,Avid Dancer,87
125,Porter Robinson,87
126,Andrew Belle,86
127,Aquilo,86
128,Black Mountain,86
129,Andrew McMahon in the Wilderness,85
130,Vancouver Sleep Clinic,85
131,Villagers,85
132,MrSuicideSheep,84
133,Damien Rice,83
134,Jimmy Eat World,82
135,Novo Amor,79
136,The Subways,79
137,Banana Fish,77
138,Filous,77
139,John Denver,77
140,Vallis Alps,77
141,Daughter,76
142,Forget Gravity,76
143,Mike Ault,76
144,Mikolai Stroinski,76
145,Ra Ra Riot,76
146,alt-J,75
147,Juana Molina,75
148,Oasis,75
149,Death Cab for Cutie,74
150,Green Day,74
151,James Blunt,73
152,桜庭統,73
153,Gregory Alan Isakov,72
154,Down Like Silver,71
155,Snow Patrol,71
156,The Head and the Heart,71
157,Third Eye Blind,71
158,Backstreet Boys,70
159,Bad Suns,70
160,Adam Skorupa,69
161,JAY-Z,69
162,Dire Straits,68
163,The Shins,68
164,Coldplay,67
165,Dan Salvato,67
166,Eden Project,67
167,Mad Season,67
168,Michl,67
169,Amber Run,66
170,Tame Impala,66
171,Jeff Russo,65
172,Lenka,65
173,Bonobo,64
174,Cape Cub,64
175,The Heavy,64
176,Troye Sivan,64
177,blink-182,63
178,M83,63
179,The National,63
180,Nautical Operator,62
181,Jason Mraz,61
182,Ally Kerr,60
183,Atta Boy,60
184,Foo Fighters,60
185,Maroon 5,60
186,OK Go,60
187,Incubus,59
188,The Eden Project,59
189,Angus & Julia Stone,58
190,Grizzly Bear,58
191,Yo La Tengo,58
192,ASIAN KUNG-FU GENERATION,57
193,Bill Frisell,57
194,Calvin Harris,57
195,Chris Botti,57
196,Fazerdaze,57
197,The Neighbourhood,57
198,Zella Day,57
199,Buck Curran,56
