,artist,track,play_count
0,The Paper Kites,Revelator Eyes,327
1,Porcupine Tree,Trains,221
2,The Paper Kites,Electric Indigo,187
3,The Paper Kites,Bleed Confusion,172
4,Radiohead,No Surprises,164
5,Eden,rock + roll,158
6,Radiohead,Exit Music (for a Film),158
7,The Killers,Smile Like You Mean It,158
8,Radiohead,Weird Fishes/ Arpeggi,157
9,Radiohead,Karma Police,156
10,Melissa Benoist,Moon River,152
11,Radiohead,Reckoner,144
12,Alexi Murdoch,Song for You,142
13,Arctic Monkeys,Fluorescent Adolescent,139
14,검정치마,Hollywood,138
15,The Paper Kites,Holes,136
16,Radiohead,Let Down,135
17,Radiohead,Lucky,131
18,Porcupine Tree,Lazarus,130
19,Red Hot Chili Peppers,Dark Necessities,125
20,John Mayer,Roll it On Home,121
21,John Mayer,Stop This Train,119
22,John Mayer,The Age of Worry,119
23,Radiohead,Codex,119
24,John Mayer,Slow Dancing in a Burning Room,118
25,The xx,I Dare You,117
26,Steven Wilson,Hand Cannot Erase,116
27,Radiohead,Burn the Witch,115
28,Porcupine Tree,The Sound of Muzak,114
29,Radiohead,Bodysnatchers,109
30,Radiohead,Decks Dark,109
31,Porcupine Tree,Arriving Somewhere but Not Here,108
32,John Mayer,Emoji of a Wave,107
33,Radiohead,Paranoid Android,104
34,John Mayer,Quiet - EP Version,103
35,Alvvays,"Archie, Marry Me",100
36,John Mayer,Who Says,100
37,Radiohead,Airbag,99
38,Radiohead,Everything in Its Right Place,99
39,::M∆DE::IN::HEIGHTS::,All The Places,98
40,John Mayer,Comfortable - EP Version,98
41,John Mayer,You're Gonna Live Forever in Me,98
42,The Paper Kites,I'm Lying To You Cause I'm Lost,98
43,John Mayer,Wheel,97
44,John Mayer,In Repair,95
45,John Mayer,You're No One 'Til Someone Lets You Down,94
46,Radiohead,The Tourist,94
47,Steven Wilson,Harmony Korine,94
48,The Killers,All These Things That I've Done,94
49,Panic! at the Disco,Death of a Bachelor,93
50,John Mayer,In Your Atmosphere - Live at the Nokia Theatre,92
51,John Mayer,Love On The Weekend,92
52,Porcupine Tree,Stars Die,92
53,The Seatbelts,Waltz For Zizi,92
54,half•alive,still feel.,90
55,John Mayer,Something Like Olivia,90
56,John Mayer,XO,90
57,Porcupine Tree,Shesmovedon,90
58,Red Hot Chili Peppers,Goodbye Angels,90
59,The Killers,Spaceman,90
60,The Killers,The Way It Was,90
61,The Milk Carton Kids,Michigan,90
62,Porcupine Tree,The Start of Something Beautiful,89
63,Radiohead,High and Dry,89
64,The Killers,Human,89
65,The xx,Seasons Run,89
66,Gorillaz,On Melancholy Hill,88
67,HAUX,Seaside,88
68,John Mayer,Heartbreak Warfare,88
69,Radiohead,Street Spirit (Fade Out),88
70,The Killers,Read My Mind,88
71,John Mayer,Edge of Desire,87
72,John Mayer,I Will Be Found (Lost At Sea),87
73,John Mayer,In the Blood,87
74,John Mayer,Moving on and Getting Over,87
75,Radiohead,Fake Plastic Trees,87
76,The Killers,Miss Atomic Bomb,87
77,Alexi Murdoch,Orange Sky,86
78,Avid Dancer,Be with You,85
79,Steven Wilson,Pariah,85
80,White Moth Black Butterfly,Rising Sun,85
81,Brandon Flowers,Between Me and You,84
82,John Mayer,I'm Gonna Find Another You,84
83,John Mayer,Wildfire,84
84,Radiohead,True Love Waits,84
85,The Kooks,Junk of the Heart (Happy),83
86,The Kooks,She Moves in Her Own Way,83
87,Mazzy Star,Fade Into You,82
88,Steven Wilson,Drive Home,81
89,a-ha,Take On Me,79
90,John Mayer,Changing,79
91,Radiohead,Nude,79
92,Steven Wilson,Harmony Korine (2016 Remaster),79
93,The Paper Kites,Renegade,79
94,Alvvays,Not My Baby,78
95,John Mayer,Something's Missing,78
96,Radiohead,Videotape,78
97,The Subways,Rock & Roll Queen,78
98,Villagers,Nothing Arrived - Live from Spotify London,78
99,City and Colour,Living in Lightning,77
100,John Mayer,Still Feel Like Your Man,77
101,Blackfield,Blackfield,76
102,Red Hot Chili Peppers,The Getaway,76
103,The Paper Kites,"Turns Within Me, Turns Without Me",76
104,Andrew McMahon in the Wilderness,Rainy Girl,75
105,John Mayer,Queen of California,75
106,Joywave,Nice House,75
107,Radiohead,The Daily Mail,75
108,Red Hot Chili Peppers,Hard to Concentrate,75
109,The Paper Kites,Woke Up From A Dream,75
110,::M∆DE::IN::HEIGHTS::,Pirouette,74
111,Radiohead,15 Step,74
112,Tycho,Skate,74
113,Black Mountain,Space To Bakersfield,73
114,Blackfield,Pain,73
115,The Seatbelts,Memory,73
116,John Mayer,A Face to Call Home,72
117,John Mayer,Half of My Heart,72
118,Parachute,When You Move,72
119,Porcupine Tree,Waiting,72
120,Radiohead,Desert Island Disk,72
121,John Mayer,Born and Raised,71
122,John Mayer Trio,Another Kind Of Green - Live In Concert,71
123,The Killers,Just Another Girl,71
124,Eden,and,70
125,Lucy Rose,Shiver,70
126,Radiohead,Identikit,70
127,The Paper Kites,Deep Burn Blue,70
128,Brolly,Hollow Home Rd,69
129,City and Colour,"Hello, I'm In Delaware",69
130,John Mayer,My Stupid Mouth - Demo Version,69
131,John Mayer,War of My Life,69
132,Phoenix,Lisztomania,69
133,Radiohead,Daydreaming,69
134,::M∆DE::IN::HEIGHTS::,Viices,68
135,Eden,drugs,68
136,Radiohead,Lotus Flower,68
137,Radiohead,Man of War,68
