,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tycho,Awake,Awake,2qC1sUo8xxRRqYsaYEdDuZ,0.552,0.878,1,-5.767,1,0.0353,0.892,0.0746,0.598,176.057,283636,4
1,Blue Foundation,Sweep Of Days,Bonfires,2xnasO1S0gdGA09o6gS0m6,0.277,0.539,6,-5.023,0,0.0352,4.77e-05,0.102,0.231,84.932,255627,4
2,The Japanese House,Good At Falling,Lilo,32P4qhYWGe9XEQE2XGgfdP,0.546,0.558,7,-8.797,1,0.0468,0.0,0.0957,0.22,119.789,250067,4
3,The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,0.618,0.837,1,-5.338,1,0.0304,0.000378,0.0618,0.526,121.227,248336,4
4,Mystery Jets,A Billion Heartbeats,Petty Drone,3nOYdZfmX1wVES485Eq4Mp,0.342,0.718,2,-5.065,1,0.0325,0.0,0.0507,0.388,85.214,285427,4
5,Charlie Burg,Live in Peter's Attic,I Don't Wanna Be Okay Without You,0sUu11545VikLoNFLscCYY,0.52,0.319,5,-7.461,1,0.0291,2.52e-05,0.138,0.165,62.985,243797,4
6,EDEN,i think you think too much of me,drugs,3OXpdrHLT4IqM76RajgM6Q,0.484,0.444,4,-6.935,0,0.0636,0.0,0.238,0.226,144.21,338333,4
7,The Vryll Society,Course Of The Satellite,Course Of The Satellite,4cAnPvONZJjsxLtFgULOhb,0.399,0.572,5,-7.591,1,0.0474,0.164,0.119,0.524,130.483,301947,4
8,Andrew Applepie,Drowning World,Drowning World,02Z0jdgUcdHEaaNZcLAd46,0.696,0.381,8,-8.467,1,0.0579,7.81e-05,0.0526,0.451,79.984,233035,4
9,SMNM,Parental Advisory Explicit Content,Think Twice,5pzYJDeDYm36wgpEUDvExF,0.518,0.745,10,-5.068,0,0.0332,2.81e-06,0.382,0.246,140.07,260571,4
10,Night Moves,Pennied Days,Only To Live In Your Memories,3tLAhLLltRJ8jnKAyiYQ2A,0.451,0.499,6,-6.016,1,0.0269,0.194,0.116,0.187,108.99,265693,4
11,Small Forward,Tearjerker,Tearjerker,5nradlxm7nAzQVjRWXK8rG,0.623,0.664,4,-6.962,1,0.026,0.0128,0.16,0.415,124.994,250640,4
12,Wintergatan,Wintergatan,Starmachine2000,2RRVwmEVM2IdfL2siZZzir,0.592,0.913,5,-5.525,1,0.0513,0.383,0.326,0.691,149.384,243139,4
13,HUNNY,Windows I,Televised,35Ki1lvKPC2sFBD3GmKdRG,0.591,0.746,8,-7.762,1,0.0444,0.0,0.127,0.432,107.965,194717,4
14,The Dandy Warhols,Distortland,All the Girls in London,0rxrzjugc6s4Z0Vd3PZVaM,0.604,0.943,7,-5.411,1,0.0403,0.0429,0.477,0.668,125.025,164811,4
15,The Kooks,Junk Of The Heart,Junk Of The Heart (Happy),5p50gxcAYYeWPrBVEPHgUt,0.604,0.894,2,-5.0,1,0.037,0.0,0.0299,0.901,145.017,187253,4
16,Tycho,Simulcast,Cypress,7ys4rU0dCmLiOb7MzBzsY2,0.562,0.433,0,-12.291,1,0.0323,0.798,0.386,0.34,166.036,374569,4
17,The Jesus and Mary Chain,Psychocandy - Barrowlands Live,Just Like Honey - Live,7KzTBNUZwPf3qhhgYEZBev,0.492,0.831,9,-5.63,1,0.0441,0.344,0.961,0.353,119.988,213366,4
18,The Wombats,The Wombats Proudly Present... This Modern Glitch,Tokyo (Vampires & Wolves),136iZLQdKtlyEFurf4UKf6,0.457,0.911,0,-5.52,1,0.075,0.0,0.37,0.572,146.394,225527,4
