,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,ODESZA,Summer's Gone,Intro,7ISreWAUq3CMXWWJHfmPzP,0.56,0.708,4,-12.956,0,0.804,1.72e-06,0.335,0.886,108.069,34000,1
1,The Milk Carton Kids,Prologue,Michigan,0WkJWnMCumm1fnFscdY7Rw,0.554,0.235,10,-14.609,1,0.0342,0.00328,0.114,0.232,121.836,330772,4
2,Avid Dancer,Be with You,Be with You,0TdZYJHVlkv72EYuxaYt7X,0.439,0.491,0,-11.296,1,0.0344,0.00284,0.09,0.155,172.243,227241,4
3,Parachute,Wide Awake,When You Move,3RgHxIGSMRy7o0zj9eobrf,0.535,0.373,4,-14.093,1,0.0295,0.00551,0.134,0.376,86.959,240973,4
4,Ally Kerr,Calling Out To You,The Sore Feet Song,2aDi7Lxx2z76E1K6CupJzw,0.38,0.284,11,-8.995,1,0.028,0.0,0.129,0.296,110.183,185293,3
5,Lucy Rose,Like I Used To (Deluxe Edition),Shiver,1ODA4mZMaoBzT1TbPBW8B1,0.423,0.183,9,-13.517,1,0.0344,4.25e-05,0.104,0.142,122.341,233013,3
6,The Paper Kites,Woodland - EP,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,0.592,0.416,1,-9.794,1,0.0246,0.000586,0.112,0.417,96.002,210080,4
7,The Paper Kites,twelvefour: outtakes,Holes,4fpAxDV1fhSHMotzyKkFhz,0.526,0.318,1,-13.514,1,0.028,0.347,0.103,0.162,79.981,268933,3
8,Villagers,Spotify Sessions,Nothing Arrived - Live from Spotify London,0TQ8ZHFhrbH9I0WRjIzOCQ,0.579,0.415,7,-11.599,1,0.0397,0.0018,0.671,0.42,102.713,219093,4
9,Damien Rice,O,The Blower's Daughter,4B2lJinAkeNLSJjcq3dg8Q,0.342,0.2,4,-13.569,1,0.0324,0.000153,0.341,0.0743,133.113,286653,4
10,Down Like Silver,Down Like Silver,Wolves,2ipqN7tzkhPCSFtJtr2EE0,0.577,0.224,7,-13.99,0,0.0336,0.0355,0.108,0.088,72.097,272080,4
11,Above & Beyond,Acoustic,Satellite / Stealing Time,7fBKJ3CxmG1LQHexTIY7g7,0.39,0.381,9,-10.525,0,0.0295,2.52e-05,0.111,0.122,132.917,304984,4
12,Phoria,Volition,Saving Us a Riot,1jpMsR7pZ56267QsvCOhci,0.475,0.137,3,-16.239,0,0.032,0.129,0.124,0.057,129.623,257516,4
13,City and Colour,Bring Me Your Love (Special Edition),The Girl,1IFRVS4t1olI0XG9RBWdKH,0.404,0.542,10,-7.578,1,0.0349,7.21e-05,0.137,0.183,109.166,360107,4
14,The Paper Kites,twelvefour,Revelator Eyes,4A8wLC09mcPYI6ZwM6Ia44,0.52,0.717,8,-9.016,1,0.0299,0.054,0.173,0.568,153.025,262267,4
15,Andrew McMahon in the Wilderness,Andrew McMahon In The Wilderness,Rainy Girl,42tEPGKhxm0te2QJ8B5lOT,0.406,0.316,8,-9.054,1,0.0306,0.0,0.098,0.443,84.681,179393,4
16,Old Man Canyon,Delirium B-Sides,It Just Comes and Goes,3aQkJx2WpFWrxKEYO159Vy,0.438,0.662,8,-7.556,0,0.0327,0.674,0.101,0.331,86.351,214052,4
17,Alvvays,Alvvays,"Archie, Marry Me",5HLes17mwCwKt81mi0Tk35,0.27,0.83,7,-4.592,1,0.0741,0.434,0.142,0.205,117.314,196560,4
18,The Midnight,Endless Summer,The Equaliser (Not Alone),0hy26hhVBNp0X87ENwuhfX,0.543,0.653,2,-7.223,0,0.0314,0.753,0.234,0.315,161.994,229014,4
