,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Kaptan,Friends,Anywhere We Go - Stripped Down,1ySq58mz23a7QPEks7l0bk,0.562,0.403,9,-10.255,0,0.0258,2.78e-06,0.0747,0.284,145.014,218702,4
1,William Fitzsimmons,Gold in the Shadow (Deluxe Version),The Tide Pulls from the Moon - Acoustic Version,4Q8DhGfLRNqHe90i9nnZ7G,0.588,0.214,10,-16.101,1,0.0356,0.127,0.101,0.531,137.871,201227,4
2,Two Ways,Beautiful Times (Feat. Tifanny Wiemken),Beautiful Times (Feat. Tifanny Wiemken),3Qom4Vd1k7SRNAPN9yEDQL,0.398,0.381,11,-11.292,1,0.033,0.704,0.137,0.0462,55.483,200286,4
3,Henry Green,Real,Real,57bUjhQOjEjQYkB23iwsjr,0.445,0.339,2,-13.364,0,0.0769,0.0089,0.144,0.0374,100.389,269115,4
4,Izzard,Threads (feat. Blankts),Threads (feat. Blankts),4eHUTrGii169pLKDzWpw66,0.763,0.51,11,-8.869,1,0.266,0.000294,0.0757,0.361,112.052,173752,4
5,ILLENIUM,Ashes,I'll Be Your Reason,079xATjZNYYUWzDeqYvLeU,0.559,0.777,8,-5.64,0,0.369,0.000198,0.246,0.352,170.114,219882,4
6,Haliia,A Song for You,A Song for You,2GRSt0oQzEuSYq90tUyqqX,0.522,0.378,8,-7.679,0,0.0487,4.44e-05,0.0968,0.0652,120.003,213802,4
7,Adam Jensen,Behold the Man EP,Numb,41VxAKw850FnGNav0W59cN,0.766,0.537,7,-9.641,1,0.0438,0.0018,0.216,0.311,120.003,196500,4
8,Muse,Showbiz,Unintended,6kyxQuFD38mo4S3urD2Wkw,0.487,0.279,6,-11.586,0,0.0265,0.00185,0.11,0.162,139.362,237027,4
9,Oh Wonder,Oh Wonder,White Blood,3sZfQB5uYTJmA4QnB8dv7P,0.477,0.229,0,-14.402,1,0.0555,0.000446,0.196,0.0819,131.28,257427,4
10,William Fitzsimmons,Gold in the Shadow (Deluxe Version),The Tide Pulls From the Moon,56vLzNRHe8ByKgMDlujYzj,0.607,0.453,0,-10.569,0,0.0278,0.737,0.114,0.261,126.88,219383,4
11,Made in Heights,Without My Enemy What Would I Do,Cry,4dXSmuywHPZ5SR8Z4Wdf3e,0.858,0.391,11,-11.848,0,0.0781,0.561,0.29,0.751,123.971,249650,4
12,Incubus,Morning View,Aqueous Transmission,5M67k54BVUDADZPryaqV1y,0.415,0.456,9,-12.082,1,0.0352,0.763,0.178,0.0935,151.937,466560,4
13,Hydrogen Sea,Court The Dark,Leave A Mark,0p4kPQukP69pqX9pgkbFON,0.498,0.319,4,-11.086,0,0.0356,0.205,0.139,0.0431,138.07,217813,4
14,Hydrogen Sea,If The Stars Grow Dim Tonight,If The Stars Grow Dim Tonight,2pnVwijADk1dsdOpL4GYYt,0.515,0.176,9,-17.601,0,0.0329,0.609,0.0717,0.0378,115.954,258017,4
15,Brolly,Hollow Home Rd,Hollow Home Rd,50e8CZRLfPWaP3qaXB8ttR,0.369,0.273,0,-5.71,1,0.0317,2.31e-05,0.103,0.174,146.652,263752,3
16,Vancouver Sleep Clinic,Someone To Stay,Someone To Stay,7tMbZ0RGW0jFsBw7ipEPEV,0.436,0.473,1,-7.24,1,0.0307,4.35e-05,0.103,0.242,108.906,254013,4
17,The xx,Coexist,Angels,1zuKjpp4t7BS8JPKi6mkQr,0.424,0.157,9,-18.141,1,0.0428,0.0593,0.101,0.342,91.537,171653,4
18,Blue Foundation,Blood Moon,Watch You Sleeping,1BKx5txBcwZUki7J24MlsX,0.339,0.295,1,-13.734,0,0.0504,0.0564,0.117,0.044,130.977,186870,4
19,Crywolf,St. Patrick,St. Patrick,1chajyFvaLyozRyF5xhlR3,0.487,0.67,4,-5.309,0,0.0439,0.00158,0.347,0.175,119.767,244000,4
20,Koda,Staying,Staying,5G5ogjmnQxSQG9cskbNEse,0.267,0.244,4,-14.014,0,0.0447,0.314,0.0873,0.137,179.209,264046,3
21,Koda,The Warmth,The Warmth,2PrNxkLKx9mgGGJQNyIXGA,0.329,0.34,4,-10.722,0,0.0417,0.000481,0.147,0.0883,102.908,230857,4
22,Koda,The Last Stand,The Last Stand,0d5ZsRLGWEji6wcXYe4BOQ,0.236,0.429,2,-9.811,1,0.0314,0.264,0.0919,0.0359,63.219,524750,3
23,Nick Leng,Tunnels and Planes,Inside Your Mind (feat. Carmody),6AWOXprb2vhZOhHU6Yo5Hm,0.5,0.645,2,-6.608,1,0.0286,0.338,0.0986,0.0398,100.997,263762,4
24,Novo Amor,Anchor,Anchor,6x6XKEUcCJGUACD4Xh7KuP,0.486,0.356,9,-13.649,1,0.0318,0.861,0.0986,0.111,117.141,256282,4
25,Novo Amor,Callow,Callow,0GikMdByUSpDt71FrqSvbv,0.365,0.392,1,-11.77,1,0.0304,0.695,0.107,0.0899,109.951,196491,4
26,Vallis Alps,Vallis Alps,Reprieve,0nJxpokJ3D8OOZW4zxVbcI,0.708,0.276,0,-11.509,0,0.0309,0.254,0.103,0.381,139.994,254665,4
27,Koda,Angel,Angel,0vqHOZzWEd7CpCPj32Cez8,0.282,0.4,5,-10.306,1,0.031,0.000896,0.105,0.136,74.234,256000,3
28,ODESZA,Summer's Gone,Intro,7ISreWAUq3CMXWWJHfmPzP,0.56,0.708,4,-12.956,0,0.804,1.72e-06,0.335,0.886,108.069,34000,1
29,Benjamin Francis Leftwich,After The Rain,Just Breathe,7H5cTOYZK4q2R8tS3BjAVR,0.624,0.574,9,-8.123,1,0.0275,0.000157,0.118,0.362,118.024,228093,4
30,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,Stole You Away,7dE1Wx1M6d7X0oS51ektFg,0.452,0.448,3,-10.83,0,0.0332,0.000637,0.0929,0.372,141.87,217533,4
31,Sufjan Stevens,Carrie & Lowell,All of Me Wants All of You,4dl77NeP009biypEUuEs8u,0.437,0.282,11,-17.455,0,0.0481,0.00174,0.115,0.163,143.934,221711,4
32,Ghost Loft,So High,So High,6UUOkhXDWTqVYjzqNJ1F0x,0.414,0.426,1,-12.223,0,0.0351,0.877,0.0995,0.0394,158.044,187993,4
33,Sean Heathcliff,Kagu,Shadow of the Wind,2rIjbmeWiNJeTa26yfJr2t,0.466,0.322,9,-11.902,1,0.0345,0.0493,0.111,0.145,113.44,230101,4
34,Behaving,Behaving,Vivisect,7KfXCBn5IXxJkJykYPaecU,0.718,0.47,10,-11.593,1,0.0427,0.641,0.177,0.219,120.038,282613,4
35,Wet,Wet,Don't Wanna Be Your Girl,3vqivv428r4JzdiEmkefb5,0.642,0.211,0,-13.486,1,0.0504,0.0043,0.108,0.171,129.926,175013,4
36,Haux,All We've Known,Sister,0HFBVwKtD5kBrQQseDwagJ,0.453,0.0287,8,-22.37,1,0.136,0.000113,0.101,0.473,187.229,133600,3
37,Haux,All We've Known,Caves,6mHw0o12JUfDodSxMwp8TI,0.554,0.318,3,-13.288,0,0.0392,0.397,0.123,0.0565,130.11,233240,4
38,Daughter,Spotify Sessions,Smother,4Hy36Zxvy4o96mpjDInDzX,0.458,0.132,1,-16.75,1,0.0366,0.0397,0.118,0.169,113.056,284067,4
39,John Mayer,Inside Wants Out,Quiet - EP Version,2Sdkwd9ptjUCcYR9uPECmx,0.557,0.0695,6,-14.11,1,0.0383,8.92e-05,0.104,0.126,103.23,200533,3
40,Mountains of the Moon,Bayou,Bayou,5MsucVNvx0DmJtmlXJORj9,0.343,0.0972,10,-16.212,0,0.0342,0.0237,0.0875,0.0983,157.885,443999,3
41,Doji,Blue,Blue,63sQ2d3jROb3vpj4yMUAUo,0.43,0.361,7,-11.491,1,0.0449,0.0,0.373,0.423,80.338,170000,4
42,Flight Facilities,Clair De Lune (feat. Christine Hoberg),Clair De Lune (feat. Christine Hoberg),2kdB12otNiHce7yyBfE38w,0.657,0.35,6,-13.573,1,0.0281,0.778,0.0878,0.0815,115.0,462288,4
43,Garden City Movement,Entertainment,Move On,6xPkf69rcfWM0Jfll6V3uo,0.501,0.551,9,-7.567,1,0.0336,0.433,0.641,0.0681,117.277,251733,4
44,Iron & Wine,Around The Well,The Trapeze Swinger,7f1rzHP8aCGTHjTq9CIYqo,0.607,0.399,2,-12.163,1,0.036,0.000304,0.1,0.689,75.477,571080,4
45,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,Last Smoke Before The Snowstorm,4VogzjLyYyWPRuBrQBoRQH,0.438,0.23,9,-13.987,1,0.0279,0.0,0.113,0.371,104.96,190373,4
46,Japanese Wallpaper,Japanese Wallpaper (Deluxe),Arrival,5sRclg7PPjvakws8COVa5S,0.474,0.214,11,-14.873,1,0.0318,0.621,0.0998,0.0394,115.014,315888,4
47,Mew,+ -,Cross the River On Your Own,5aVCNslnIOWphtIAHb7hgu,0.515,0.383,7,-7.755,1,0.0275,0.000193,0.117,0.0389,108.0,448834,3
48,Wafia,XXIX,Fading Through,7wcddWt1M8Ch5tXydfOC7l,0.294,0.0693,11,-16.983,0,0.038,0.000579,0.0958,0.0972,103.628,260749,4
49,Blackbird Blackbird,Tangerine Sky,Grow Old With Me (Don't Let Go),43kb7GvQd8E222anxDrLTU,0.561,0.532,2,-9.422,1,0.039,0.11,0.137,0.475,117.994,246250,4
50,William Fitzsimmons,Derivatives,I Don't Feel It Anymore,0mZW0oEtrYDS0jsVSbzOXO,0.676,0.205,0,-14.508,1,0.0316,0.00299,0.11,0.303,112.83,210680,4
51,Haux,All We've Known,Seaside,04UiSTILl9GY5vRotNFBlJ,0.341,0.354,2,-15.346,1,0.0846,0.0782,0.155,0.117,124.872,206160,1
52,Small Black,Limits of Desire,Limits of Desire,266j4fCyIUXECBch8zE8YZ,0.575,0.799,7,-5.982,1,0.0309,0.0067,0.209,0.505,118.026,235147,4
53,Amason,Sky City,The Moon As A Kite,6f5Y2ZewTeyyKZPHUX1PXP,0.352,0.283,0,-10.566,1,0.0448,7.3e-05,0.106,0.192,167.561,251147,3
54,The Tallest Man On Earth,Sometimes The Blues Is Just A Passing Bird,The Dreamer,5oeNNiNSE0UBRzNSzx5SKZ,0.581,0.232,0,-9.343,1,0.0309,4.39e-05,0.111,0.349,84.861,245867,4
55,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,1904,0SwtPVBuA4oPoG558lbZdW,0.602,0.504,8,-8.839,1,0.0266,0.0759,0.334,0.557,126.002,247613,4
56,Aquilo,Painting Pictures Of A War,I Gave It All,7BmQnMuHr3zFilBgxId3Yw,0.302,0.408,6,-10.461,1,0.0426,0.00223,0.119,0.121,119.974,231142,4
57,Oh Wonder,Oh Wonder,All We Do,6ZeWGilCAL4sgnPWlCYyaj,0.586,0.237,10,-11.676,0,0.049,7.49e-05,0.0921,0.366,126.751,214174,4
58,Dawn Golden,Still Life,Last Train,7BpnIt5DSgv1HfRvAc5z6h,0.662,0.347,1,-10.711,1,0.0337,0.673,0.121,0.18,120.004,222520,4
