,track,album,release_date,id
0,Star Trek Picard Main Title,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,4QbneXqK8dpSugMWRaNTPv
1,Star Trek Picard End Title,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,63Q7sz7PlFpT34AIjoUGAY
2,Walking With Number One,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,02geJTnVSYtRuOXULn304W
3,Dahj Activates,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,2mTuyt6SEMKZIe8iSCwDV3
4,Dahj And Picard Speak,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,5p4sVWrHr9CuqqLbG42f9S
5,Dahj’s Last Fight,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,0E8hUmQm7Gge1J9LSg3ryM
6,Picard Decides,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,5cBOFbttEZ1T5beDpJRGLz
7,The Painting,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,2TNOLivOt4ExnwysINedbs
8,Twins,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,1MPR3CaWWNy5Bl7X93NZZo
9,Picard Requests Help,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,2HfOL5rJBsqUVXTy1twypF
10,Romulan Collusion,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,3KZStj844hP1gZnhsaV2o5
11,Trouble For Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,4ETM3klAZez5PRE8Ql8oSq
12,Raffi Decides To Join,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,1H7rQ9XNuUJf6fU0R7DVx4
13,Raffi Turns Down Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,3wsO5WD3aDtvtvAN6hhaN5
14,Sizing Up Rios,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,62iqbHkQeSsuzZQ6jFh4VS
15,Happier Times,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,6M3en5rfCxxzjqmUxRmgyN
16,Leaving With Elnor,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,2uHuegGd08BX1sO3IGY3mp
17,Mystery Ship,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,646rYixLbCxDT7uYFHWuZU
18,Picard Goes Back,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,3FZTHMWrCdFJxSgDL6jxs1
19,Picard Leaves Elnor,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,0OyFBPXDtfq1K0OdxdJ9bG
20,Soji And Narek Waltz,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,5016WqN15mvqI7G696KGnv
21,Home Movies,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,0rx5Xai9HK3o4zKD7NBJyu
22,Jurati And Maddox,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,5NImlNvGE6ppQjscTmY5lN
23,Leaving With Maddox,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,1Eo5O5riBvUnj7UVn1YfUG
24,Seven Needs Revenge,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,2y05aoWU6INKztZ0ppQqaE
25,What’s Your Emergency,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,1JS7GK6h96sgeFs4LnXBBg
26,Page - From Short Treks “Children Of Mars”,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,1IjTI54V4mFYvvloqPygdx
27,Children Of Mars End Credits - From Short Treks “Children Of Mars”,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,6NEr3WMWMpx3YpX4RqCDud
28,Jurati And Rios Get Close,Star Trek: Picard – Season 1 (Original Series Soundtrack),2020-04-03,4Npkxq6wq69VRknZmeYJme
