,name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Star Trek Picard Main Title,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",103466,34,0.221,0.282,2,-12.881,1,0.0368,0.399,0.87,0.0657,0.0335,113.569,4
1,Star Trek Picard End Title,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",104373,19,0.128,0.448,0,-8.812,0,0.0329,0.536,0.961,0.154,0.181,162.144,4
2,Walking With Number One,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",76026,23,0.196,0.0901,7,-19.264,0,0.0347,0.961,0.967,0.166,0.0574,85.924,4
3,Dahj Activates,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",70680,14,0.213,0.0938,7,-17.984,1,0.0324,0.836,0.971,0.2,0.0824,65.106,4
4,Dahj And Picard Speak,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",234880,16,0.0789,0.0418,7,-24.763,0,0.0446,0.915,0.929,0.1,0.036,81.909,4
5,Dahj’s Last Fight,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",111333,13,0.284,0.78,5,-11.82,0,0.0715,0.393,0.765,0.111,0.173,81.36,4
6,Picard Decides,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",106493,21,0.173,0.0793,10,-22.711,1,0.0458,0.114,0.939,0.0878,0.0357,123.679,3
7,The Painting,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",178466,14,0.0635,0.0901,2,-22.132,0,0.0356,0.934,0.938,0.101,0.0494,199.418,4
8,Twins,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",255200,14,0.278,0.131,7,-17.041,0,0.0342,0.876,0.918,0.0573,0.0353,85.787,4
9,Picard Requests Help,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",135666,14,0.144,0.026,10,-21.597,1,0.0385,0.964,0.11,0.095,0.0363,49.505,4
10,Romulan Collusion,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",141893,13,0.274,0.0262,2,-28.398,1,0.0384,0.861,0.764,0.1,0.0366,139.972,4
11,Trouble For Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",78746,12,0.213,0.113,10,-22.538,1,0.0459,0.874,0.623,0.105,0.0319,119.644,4
12,Raffi Decides To Join,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",111880,13,0.213,0.12,5,-17.987,1,0.0411,0.882,0.943,0.0672,0.0353,112.556,3
13,Raffi Turns Down Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",126013,12,0.209,0.0983,10,-23.248,0,0.0388,0.737,0.919,0.0951,0.0395,63.25,4
14,Sizing Up Rios,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",255013,12,0.133,0.0361,7,-21.632,1,0.0483,0.947,0.854,0.0956,0.0342,79.267,4
15,Happier Times,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",205173,13,0.223,0.226,9,-18.764,0,0.0372,0.706,0.603,0.11,0.146,133.598,4
16,Leaving With Elnor,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",112440,12,0.123,0.118,9,-22.38,0,0.0346,0.564,0.896,0.0915,0.0396,74.752,4
17,Mystery Ship,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",190733,11,0.496,0.573,8,-13.013,1,0.0391,0.47,0.925,0.342,0.514,154.977,4
18,Picard Goes Back,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",128960,13,0.467,0.305,2,-19.461,1,0.0259,0.176,0.905,0.138,0.0791,94.043,4
19,Picard Leaves Elnor,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",101560,13,0.227,0.0602,7,-25.277,0,0.036,0.957,0.918,0.0833,0.0732,81.68,4
20,Soji And Narek Waltz,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",282093,15,0.41,0.221,9,-15.776,0,0.0336,0.666,0.932,0.0923,0.0855,149.805,3
21,Home Movies,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",112666,11,0.219,0.199,10,-15.709,1,0.0319,0.813,0.676,0.074,0.0666,77.001,4
22,Jurati And Maddox,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",115093,12,0.181,0.0327,5,-23.112,1,0.0393,0.946,0.94,0.0558,0.0359,88.453,3
23,Leaving With Maddox,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",227880,12,0.138,0.16,7,-21.366,0,0.0358,0.829,0.877,0.124,0.0609,160.035,4
24,Seven Needs Revenge,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",182933,11,0.179,0.282,7,-19.523,0,0.0374,0.77,0.974,0.0969,0.0829,140.381,1
25,What’s Your Emergency,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",85373,10,0.224,0.393,8,-14.115,1,0.0503,0.163,0.904,0.117,0.0611,121.303,4
26,Page - From Short Treks “Children Of Mars”,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",118573,14,0.215,0.0341,1,-26.381,0,0.041,0.949,0.897,0.099,0.0334,64.589,4
27,Children Of Mars End Credits - From Short Treks “Children Of Mars”,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",103600,12,0.35,0.0463,0,-21.976,0,0.0373,0.985,0.842,0.112,0.102,69.943,3
28,Jurati And Rios Get Close,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",157733,9,0.168,0.0291,8,-31.548,1,0.0415,0.966,0.972,0.0898,0.0399,129.988,3
29,Raffi Calls Bosch,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",206880,9,0.125,0.102,2,-23.051,0,0.0468,0.89,0.929,0.113,0.0393,80.646,4
30,Raffi Opens Up,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",94746,9,0.218,0.0407,3,-27.242,1,0.0437,0.986,0.844,0.0916,0.0341,69.431,4
31,Borg Cube,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",268800,9,0.295,0.272,8,-17.706,1,0.044,0.568,0.902,0.118,0.0314,115.983,4
32,Looking For Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",310306,8,0.241,0.333,8,-14.878,1,0.0405,0.56,0.817,0.26,0.0317,102.549,4
33,Walking Around Nepenthe,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",145586,8,0.196,0.137,0,-20.064,0,0.0404,0.96,0.854,0.111,0.0332,109.513,4
34,Picard And Riker Reunite,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",154786,10,0.166,0.0355,2,-27.185,0,0.0423,0.951,0.901,0.176,0.0386,99.167,4
35,I Was Human,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",184573,9,0.185,0.0349,10,-25.898,1,0.0427,0.971,0.907,0.0791,0.0343,90.205,3
36,Elnor Fights Narissa,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",167440,8,0.258,0.35,5,-14.836,0,0.0441,0.696,0.828,0.0764,0.0529,149.114,3
37,Picard Bids Farewell,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",301800,10,0.102,0.0432,2,-25.412,1,0.0436,0.885,0.834,0.0944,0.0374,89.893,4
38,Tal Shiar Admonisher,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",166253,8,0.234,0.206,10,-14.963,0,0.0409,0.907,0.953,0.0925,0.0391,119.446,4
39,Staying Close,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",179306,7,0.146,0.0841,7,-19.681,0,0.0375,0.533,0.881,0.167,0.0369,65.891,4
40,Rios Feels Lost,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",126280,8,0.136,0.0197,0,-27.894,0,0.0471,0.978,0.867,0.159,0.0392,145.621,4
41,Hologram Meeting,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",66333,7,0.752,0.216,2,-25.615,1,0.0634,0.829,0.89,0.094,0.0308,116.986,4
42,Raffi And Rios Talk,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",280493,8,0.132,0.114,0,-23.443,1,0.0382,0.841,0.934,0.0924,0.0347,98.849,4
43,Rios And Picard,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",193080,8,0.131,0.0262,5,-19.818,1,0.0452,0.971,0.882,0.0902,0.0351,71.472,5
44,Unexpected Visitor,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",152906,7,0.247,0.571,2,-10.622,1,0.0452,0.63,0.891,0.0792,0.0395,80.676,4
45,Leaving The La Sirena,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",171866,9,0.423,0.181,1,-15.73,1,0.0342,0.597,0.928,0.0862,0.0526,121.985,4
46,Sutra Arrives,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",263653,7,0.131,0.207,2,-18.269,1,0.0398,0.76,0.921,0.11,0.0392,200.158,4
47,Narek Escapes,Star Trek: Picard – Season 1 (Original Series Soundtrack),Jeff Russo,2020-04-03,"['scorecore', 'soundtrack', 'video game music']",487213,7,0.281,0.14,2,-24.927,0,0.0389,0.909,0.941,0.0714,0.04,90.237,4
