,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Made in Heights,Without My Enemy What Would I Do,Pirouette,0M0IkpL28r3qCgGYmagSJ2,0.783,0.383,0,-10.312,1,0.0521,0.0652,0.0755,0.514,129.929,250937,4
1,Blue Foundation,Eyes On Fire,Eyes on Fire,4w3zR0z2oqv8ijhOkTnRvT,0.544,0.383,3,-10.143,0,0.0334,0.00204,0.125,0.367,145.025,302827,4
2,Made in Heights,MADE IN HEIGHTS,Hors D'œuvre,41L7nD4tEFacmCCVtPghIM,0.655,0.285,1,-7.742,1,0.0333,0.0479,0.0666,0.438,75.003,205400,4
3,EDEN,i think you think too much of me,rock + roll,0Mf6WhWLfOpzOxacvbcboj,0.468,0.517,0,-7.049,0,0.0574,0.00705,0.171,0.425,69.282,296053,4
4,Hydrogen Sea,Beating Heart,Beating Heart,5E4XTRGjNzUkBydCo14S3F,0.638,0.656,5,-9.049,0,0.0353,0.886,0.209,0.269,100.012,215707,4
5,Made in Heights,MADE IN HEIGHTS,Holla Mears,6PfRmTAEhmjjcCbAW4AFDc,0.69,0.47,7,-11.432,1,0.0467,0.0283,0.13,0.442,129.997,305235,4
6,XYLØ,Dead End Love,Dead End Love,7K0ylg8TRmJavlgCS1zhL4,0.589,0.765,6,-5.755,0,0.0351,7.87e-05,0.199,0.667,151.958,227766,4
7,Made in Heights,MADE IN HEIGHTS,Amaranthine,6w8FRlTN4qLe8Y9nGOSVdr,0.541,0.867,6,-7.718,0,0.0799,0.89,0.165,0.576,113.468,152471,4
8,Echos,Take,Take,1w5y06ufX6ji1rkNUI0Gd4,0.434,0.533,0,-10.976,1,0.061,0.00163,0.0888,0.0478,114.857,196174,4
9,EDEN,End Credits,End Credits,7j5DNclXXrNL4LPw59qcUK,0.435,0.505,0,-5.104,0,0.147,0.0,0.0859,0.314,171.352,240390,4
10,Oh Wonder,Oh Wonder,Lose It,2QgNcjwEn0vGmTommfszQd,0.52,0.329,2,-9.337,0,0.0381,1.31e-05,0.333,0.171,87.857,229935,4
11,Bastille,All This Bad Blood,What Would You Do,2WwzQJt4hG7YC6x16ZTYFM,0.581,0.732,0,-6.024,1,0.0417,0.00254,0.385,0.36,89.994,183333,4
12,Owl City,All Things Bright And Beautiful,Galaxies,4jKa7EZaP8UaEBp2ijfzk6,0.65,0.975,1,-4.85,1,0.0412,1.44e-05,0.0797,0.906,119.989,243200,4
13,EDEN,i think you think too much of me,Circles,6REPF37KwcWMqyk6XCuB7p,0.261,0.524,2,-6.697,1,0.0437,2.11e-06,0.0923,0.119,58.883,274668,3
