artist,album,track_name,track_id,popularity,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
half•alive,still feel.,still feel.,4EcYqXGZ1MOl7gBLcRO9Ya,57,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",0.779,0.525,10,-5.756,0,0.0487,0,0.0675,0.698,120.018,247438,4
Better Oblivion Community Center,Better Oblivion Community Center,Service Road,0AODUbeAlQFw4jsyoWtB6U,48,"['indie pop', 'indie rock']",0.54,0.548,0,-10.303,1,0.0405,3.84e-05,0.135,0.525,83.876,224333,4
Beeches,Famous Friends,Blackbird,0JkSXJb0s0UG8sazEhUSxF,38,['pop folk'],0.512,0.418,8,-12.131,1,0.0271,0.0234,0.112,0.592,85.031,229059,4
The Paper Kites,twelvefour,Bleed Confusion,5cEmrGyQcCjzC994LocIjs,37,"['australian indie folk', 'indie folk', 'stomp and holler']",0.56,0.406,2,-11.134,1,0.031,0.612,0.108,0.0644,74.994,261027,4
Elliott Smith,Either/Or: Expanded Edition,Pictures of Me - Live,2wMFRRLOnHwPJIszMVkUhi,0,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'singer-songwriter']",0.471,0.299,3,-10.007,0,0.0635,0,0.127,0.285,139.664,238211,4
Various Artists,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,Heart Like Yours,6yaHCAtl9kA0K3FMumR2ph,0,[],0.497,0.259,7,-9.782,1,0.033,0,0.102,0.338,140.117,200560,3
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,84,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",0.686,0.457,11,-8.322,1,0.0468,0,0.105,0.718,150.953,242187,4
OK Go,Of the Blue Colour of the Sky (Extra Nice Edition),Shooting The Moon,4StBMIFXJl9ObFMdeEQD6S,47,"['alternative rock', 'chicago indie', 'dance-punk', 'indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'rock']",0.305,0.763,6,-7.551,1,0.0528,0.00143,0.226,0.55,146.685,200773,3
Red Hot Chili Peppers,Stadium Arcadium,Hard to Concentrate,37kTASujIfZZ27NV7PfIrf,57,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.641,0.502,7,-7.334,1,0.0251,4.35e-06,0.311,0.326,105.634,241840,4
The Kooks,Junk Of The Heart,Junk Of The Heart (Happy),5p50gxcAYYeWPrBVEPHgUt,28,"['brighton indie', 'modern rock', 'rock']",0.604,0.894,2,-5.0,1,0.037,0,0.0299,0.901,145.017,187253,4
The Ransom Collective,Traces,Open Road,1fi8KOnEM6Jz9moa2yGFgQ,28,"['pinoy indie', 'pinoy rock']",0.705,0.83,7,-6.082,1,0.0284,0.0154,0.21,0.438,125.99,253131,4
Lenka,Two,Everything at Once,6iZxpy5Z0BztLHsWE8cSzD,0,[],0.767,0.484,0,-8.005,1,0.0659,0.00649,0.415,0.842,145.033,157600,4
Lorde,Melodrama,Supercut,6IIcLzR05sN1gk4ngzz7Kk,62,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'pop dance', 'post-teen pop']",0.562,0.437,0,-10.229,1,0.052,2.18e-05,0.0806,0.15,124.852,277506,4
khai dreams,Time to Time,Time to Time,4SyNqGP66aYZjtSePnZ3Le,0,"['indie pop', 'pop']",0.567,0.16,11,-16.466,1,0.157,0,0.104,0.807,125.492,133895,5
Oh Wonder,Oh Wonder,Without You,0IVHlst3XMgzXUJbIyZ8oO,61,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'pop']",0.639,0.465,11,-7.247,0,0.0696,1.45e-06,0.124,0.319,86.994,224740,4
Vance Joy,Dream Your Life Away (Special Edition),Riptide,3JvrhDOgAt6p7K8mDyZwRd,80,"['folk-pop', 'modern rock', 'pop', 'pop rock']",0.484,0.731,1,-6.694,1,0.0379,0,0.151,0.51,101.654,204280,4
Twenty One Pilots,Blurryface,The Judge,1lguQJjlNrIOoOylYVZN3M,71,"['modern rock', 'rock']",0.423,0.797,0,-4.659,1,0.124,0,0.137,0.592,82.617,297760,4
Arctic Monkeys,AM,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,88,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.548,0.532,5,-7.596,1,0.0323,0.000263,0.217,0.405,85.03,272394,4
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,82,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.618,0.938,9,-3.442,1,0.0456,0,0.167,0.875,91.455,269000,4
