,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,65daysofstatic,No Man's Sky: Music For An Infinite Universe,Hypersleep,6bbjsAJnozh2qYMS9lFQDz,0.281,0.369,6,-16.022,0,0.036,0.964,0.274,0.211,76.155,173400,3
1,Tycho,Past Is Prologue,Send And Receive,2F74sQhuAH511mBJVn0zZI,0.558,0.491,9,-14.688,0,0.0382,0.871,0.385,0.287,160.052,293133,4
2,Chequerboard,The Unfolding,Opening the Gates,0JqBTf4ImzOf3TNR5wgefk,0.679,0.428,4,-13.949,0,0.0313,0.912,0.353,0.283,105.519,282677,4
3,Tycho,Past Is Prologue,Sunrise Projector,3NyxAqxgHOGaZW00h9me4U,0.609,0.337,7,-12.964,1,0.0321,0.549,0.0899,0.114,99.996,184187,4
4,Maximum Love,Dead By Dawn,Memories,57WVHpcqFkQUPKn2OO1z07,0.463,0.577,0,-8.065,1,0.0258,0.843,0.246,0.0394,94.059,231396,4
5,Maximum Love,Dead By Dawn,Space Vulture 21210,7ajNV1S77exwNgRlotWvms,0.175,0.263,2,-17.49,0,0.0408,0.935,0.108,0.0321,78.954,158196,1
6,Arctic Vision,Arctic Vision,Neon Colors,1bPAagmvoXWHXsr9R5kzCR,0.639,0.518,7,-11.304,0,0.0297,0.407,0.111,0.12,108.006,228889,4
7,Taylor Davis,Gaming Fantasy,Brothers (Fullmetal Alchemist),2lPm4DIJTmh8FC0e25fzxY,0.124,0.276,0,-14.038,1,0.0401,0.267,0.219,0.171,83.057,247929,4
8,Headphone Activist,Crystal Souls - EP,Crystal Souls,6quGxmpGA8TRhH2DY9yxcg,0.361,0.416,0,-13.476,1,0.0374,0.942,0.109,0.0646,149.931,208746,4
9,Koda,Staying,Staying,5G5ogjmnQxSQG9cskbNEse,0.267,0.244,4,-14.014,0,0.0447,0.314,0.0873,0.137,179.209,264046,3
10,Chequerboard,The Unfolding,Dunes,7gE1e9nz5axJlm26hkFuPE,0.436,0.186,8,-17.752,0,0.0314,0.963,0.255,0.112,136.525,466178,3
11,Chequerboard,The Unfolding,A Field of Night,0YeA95qfyzG5jhm8M5XTpp,0.113,0.236,7,-20.578,1,0.0414,0.912,0.348,0.0686,76.131,453701,4
12,Chequerboard,Dictaphone Showreels,Indian Ink,1A1nkiFF1PT2rGhlMjnSDN,0.515,0.237,3,-12.585,0,0.0402,0.927,0.308,0.492,184.153,179360,3
13,Chequerboard,The Unfolding,"Today Is Beautiful, We Have Things to Do",6XQMrYw79TV6Y6XkXgR4tM,0.665,0.271,4,-15.922,0,0.0404,0.898,0.0965,0.236,110.984,241482,4
14,Chequerboard,The Unfolding,The Sorrow Bird,6ciOtuhRKnISGs30YOHUiV,0.502,0.331,9,-13.961,1,0.0276,0.889,0.238,0.147,148.243,246732,4
15,Subtact,Burden (Mr FijiWiji Remix),Burden (Mr FijiWiji Remix),3TsbyfhFrXvBom8f6HQAqO,0.186,0.366,4,-12.881,0,0.0465,0.14,0.38,0.0382,188.172,264317,4
16,Fort Road,Cigarettes and Silhouettes,Fluke,0IiE1yb7QDBiFNtiSzDTZa,0.514,0.308,4,-12.67,1,0.0343,0.941,0.0988,0.0664,100.029,252029,4
17,Koda,The Last Stand,The Last Stand,0d5ZsRLGWEji6wcXYe4BOQ,0.236,0.429,2,-9.811,1,0.0314,0.264,0.0919,0.0359,63.219,524750,3
18,Stumbleine,Echo Chamber,Comatose,1kG89uVpqfPww03DecqG7O,0.413,0.493,6,-11.053,1,0.0334,0.85,0.0847,0.12,114.98,221739,4
19,Tycho,Dive,Elegy,5MbUyUE6erY9mVgXaecQwR,0.535,0.417,3,-12.651,1,0.0369,0.931,0.0721,0.171,120.099,263561,4
20,Lotus ,Nomad,Colorado,6ip7iRhaxc1yXD2nYM0Rw3,0.598,0.154,4,-18.272,1,0.0503,0.684,0.112,0.132,111.872,306840,4
21,Aether,Viraha,Flowerdance,7vj8WnBdih005tjGUOd6tp,0.641,0.111,6,-18.686,1,0.0386,0.887,0.0968,0.0647,110.993,216227,4
22,AK,As Time Goes By,As Time Goes By,2AwOCi3mxP4UfVjcu33g32,0.557,0.395,8,-12.449,1,0.0344,0.854,0.0719,0.0676,141.954,236620,4
23,The M Machine,The Warehouse,The Warehouse,60EgNlByxtWRUBll7Qhczk,0.603,0.309,0,-10.226,1,0.0412,0.961,0.0975,0.0964,140.078,146001,4
24,Tycho,Epoch,Receiver,78qM62MHvNxFJLpShqmq28,0.639,0.274,2,-16.048,0,0.0424,0.897,0.0897,0.0397,125.003,255209,4
25,Tycho,Past Is Prologue,Past Is Prologue,4vS5pFdTc072tP25kRqmWy,0.577,0.526,9,-9.957,0,0.0312,0.879,0.337,0.13,160.024,350187,4
