,name,id,creator
0,Daily Mix 1,37i9dQZF1E384xMRAb5F4k,spotify
1,Daily Mix 2,37i9dQZF1E35mQrigIJBb9,spotify
2,Daily Mix 3,37i9dQZF1E3a2onRCeigm3,spotify
3,Daily Mix 4,37i9dQZF1E37kKpoA0xZT0,spotify
4,Daily Mix 5,37i9dQZF1E368h8CDEm5lY,spotify
5,Daily Mix 6,37i9dQZF1E38Evk32nwLc9,spotify
6,80s neon,4VRJC5IsaOqFbinPaX0ocW,sidsaxena
7,Evergreen,4h4ViGj9auvptyhtzxNzq5,sidsaxena
8,私のアニメミックステープ,0TXLXRRnylunvlJqxOtXg2,sidsaxena
9,Gadha x Nidhi Archive,5U5vVOuIEppEbt3GzwDAz9,sidsaxena
10,Sleep/Study,6Tz22UKQCnp4rqu6dNzVm0,sidsaxena
11,Peaceful Lyrical,2p9y6Nqb6HV76z1xPUmFrN,sidsaxena
12,Baked Goods,1T0c38Lch3AkvppgBecUcS,sidsaxena
13,Jagahpakdu,0HH2UplyNeIRzrZAM3I9Bq,sidsaxena
14,Ching Chong,6IEGMTxfOIFo7osyuHCdsm,sidsaxena
15,Plot Twist,4rDeh1nPmSu5QhHSvIzCLj,sidsaxena
16,Voices from Another Room,2CTJSu2bawrJlyeWJtOKYC,sidsaxena
17,Songs For You (bb),6NRZwDLeabqSNNZU1kutcT,sidsaxena
18,"""Spotify Wrapped"" Wrapped",2HUmVW2lxhAxLZeiPyx5Zc,sidsaxena
19,Made in Heights,4Orf8jnLkOun4bZoALKZE4,sidsaxena
20,Local Files,035KKU5DMPKU6ZuOjMElBn,sidsaxena
21,Sydate,52xPE1a95uVxxQbkXIoFre,xudeibo6rk4dua84p4gzx0hfl
22,Sydnificant O,0FyBLSl7alHxfz0ytoSSaz,xudeibo6rk4dua84p4gzx0hfl
23,rooftop serenades,0Th9tGZ0SC5qUXbqkMw0hs,tarun-verma
24,Hindi music that's not great but also not shit,0QIWliqImR4r7h8HHkXhj6,ahf4gi6ob4f0i80fkool0shl4
25,Japanese Songs,3iGfbWMPjTfCkgTY9JgxlM,tf3ipbli47ne30lu5vh8v5efj
26,Nandu's stuff,659wfWEA7E5xmHz1DebdMU,fnq6xokumng0ibfs38w4gpcyi
27,Repeat Rewind,37i9dQZF1EpPuPbEq9wx5M,spotify
28,On Repeat,37i9dQZF1EpvShtPXbqZGa,spotify
