artist,track
Matt Berninger,Serpentine Prison
Geotic,Gondolier
Sticky Fingers,Rum Rage
Declan McKenna,In Blue
Winnetka Bowling League,On The 5
Mad Season,Wake Up
The Honeysticks,Out Like a Light
Blackfield,Once
Slint,Washer
Slowdive,Slomo
Lucys,4-U
Conner Youngblood,Los Angeles
Jack Stauber,Pizza Boy
Nearly Oratorio,Juniper
Big Black Delta,brookes was here2a
Mosss,Till You Sink
Fyfe,Cold Air
Everything Everything,Don't Let It Bring You Down - Live at BBC Maida Vale
Horsebeach,June
Beirut,Fin
Mac DeMarco,Honey Moon
Gotham Knights,World Premiere Trailer
ADOY,Wonder
Deep Rock Galactic,Mission Control quotes
Kyle Dixon & Michael Stein,Descent into the Rift
Alvvays,In Undertow
Alvvays,Dreams Tonite
Sweet,Cigarettes After Sex (Long)
Ocean,John Butler - 2012 Studio Version
Fkj & Masego,Tadow
City of the Sun,Intro (The xx cover)
Sweater Weather,the neighbourhood (cover)
Beach House,Take Care
Snail Mail,Speaking Terms
Faye Webster,Kingston
Alvvays,Adult Diversion
Alvvays,Not My Baby
Alvvays,"Archie, Marry Me"
Alvvays,Party Police
Firebase,Ultimate Beginner's Guide
Aquilo,Sorry
Runnner,Heliotrope
John Mayer,My Stupid Mouth
The Paper Kites,Revelator Eyes
John Mayer,All We Ever Do Is Say Goodbye
Kasabian,Wasted
GTX 1660 Ti vs RTX 2060,Gaming Laptop Comparison
Radiohead,Street Spirit (Fade Out)
Alvvays,The Agency Group
Alvvays,Next of Kin
ADOY,SAN FRANCISCO
ADOY,Don't Stop
ADOY,RUNNER'S HIGH
ADOY,It Doesn't Even Matter
ADOY,Balloon
ADOY,Swim
ADOY,Young
ADOY,Away
ADOY,Pool
ADOY,Moondance
ADOY,Ugly
ADOY,Ever
ADOY,Domino
ADOY,Someday
ADOY,Blanc
ADOY,Porter
ADOY,Bike
ADOY,Lemon
ADOY,GRACE
chill japanese songs to vibe with when somethings off,short playlist
hyukoh,Love Ya!
검정치마,Hollywood
John Mayer,Belief
John Mayer,I Don't Trust Myself (With Loving You)
John Mayer,Waiting on the World to Change
Porcupine Tree,Fear of a Blank Planet - Live
The Seatbelts,Fingers
Noah Hawley,Change the World
Noah Hawley,White Room
Noah Hawley,White Rabbit
Ten Years After,I'd Love to Change the World
Bernice,He's The Moon
Noah Hawley,Burning Down the House
MixAndMash,Buttercup
Mai Yamane,See You Space Cowboys Not Final Mountain Root
Sam Hulick,A Way Out
SIE Sound Team,Factory
The Seatbelts,SPY
ADOY,Pool' Teaser
Noah Hawley,Don't Come Around Here No More
Noah Hawley,Behind Blue Eyes
Noah Hawley,Nothing in This World
ADOY,Laika
The Flaming Lips,"Yoshimi Battles The Pink Robots, Pt. 1"
The Strokes,At The Door
Geographer,Age Of Consent
Bon Iver,715 - CR∑∑KS
Moses Sumney,Don't Bother Calling
Chris Bear,Beth Theme
No Vacation,Linger
Blackbird Blackbird,Hearts
Orangutang,Ghost
Pomplamoose,Breathe Your Name
José González,Heartbeats - Live
Ralph Castelli,Better Things
The Antlers,Parade
Molly Burch,Please be mine
Totally Enormous Extinct Dinosaurs,Don't You Forget About Me
Mk.gee,New Year
Shook,You Were Bigger Than Life
NIGHT TRAVELER,1984
Coin,Let It All Out (10:05)
The Zolas,Ancient Mars
The fin.,Pale Blue
Vasudeva,Only On
Rogue Wave,Salesman at the Day of the Parade
Tegan and Sara,Call It Off
Noah Hawley,"Der Vater des Attentäters, Kapitel 114.2 - Der Vater des Attentäters (Ungekürzt)"
ADOY,I JUST CAN'T FORGET HER
Foreign Fields,Don't Give Up
Toledo,Hot Stuff
KinokoTeikoku,退屈しのぎ
Diamond Thug,The Woods
Eminem,Lose Yourself
Beck,Ramona
Radiohead,Fitter Happier - Remastered
Woman Finds A Baby House Finch Bird On Her Porch,The Dodo Little But Fierce
The Paper Kites,Neon Crimson
Hellogoodbye,Honeymoon (Forever)
hyukoh,Die alone
SURL,The Lights Behind You
The Black Skirts,Blood and Thirst (King of Hurts)
Sunday Moon,Somebody
hyukoh,SI SHI GU REN LAI (Soundtrack From The Netflix Original Series 'NOWHERE MAN')
92914,Okinawa
Night Tapes,Forever
Private Island,Turbulence
Robin Schulz,OK - Ofenbach Remix; Spotify Version
John Mayer,Slow Dancing in a Burning Room
Eden,End Credits
The Kooks,Pamela
Alvvays,Saved By A Waif
Jeff Russo,Open
Jeff Russo,Seeing Things Hearing Things
Jeff Russo,David Redux
Jeff Russo,David in Clockworks
Jeff Russo,Tea and Memory
Jeff Russo,Levitate
Hugo Fontana,Boléro de Ravel
Jeff Russo,Fauxlero (Bolero De Revel)
Jeff Russo,Almost Legion
By the time you've finished your coffee,original song
Jeff Russo,The Shift and Cascade
Jeff Russo,Clockworks
Jeff Russo,Darkness (Full Suite)
Jeff Russo,Choir and Crickets
Sufjan Stevens,Enchanting Ghost
Porcupine Tree,Shesmovedon
The F16s,Amber
DBZ,LINKIN PARK
Deadpool,Oh Baby A Triple!
Valley,Slacks
Radiohead,Blow Out
Radiohead,Motion Picture Soundtrack
Radiohead,Morning Mr Magpie
Radiohead,15 Step
Radiohead,Down Is the New Up
Radiohead,Bloom
Radiohead,Little By Little (Shed)
Radiohead,Knives Out
Radiohead,The Daily Mail
Radiohead,Fake Plastic Trees
Radiohead,Molasses
Radiohead,The Bends
Radiohead,Talk Show Host
Pink Floyd,Breathe (In The Air)
Jeff Russo,174 Hours
Jeff Russo,Young David
Jeff Russo,Looking For Picard
Jeff Russo,David
Soulja Boy,Kiss Me Thru The Phone
Blackfield,The Hole in Me - Remastered
Jeff Russo,87 Days
Jeff Russo,The Caper 2
Jeff Russo,Legion Main Title
Jeff Russo,Run
Jeff Russo,Orange Bridge
Breaking Benjamin,Into The Nothing
Breaking Benjamin,I Will Not Bow
Breaking Benjamin,Give Me A Sign
Breaking Benjamin,Dear Agony
Dan Stevens,Rainbow Connection
ODESZA,Intro
Brigitte Bardot,Contact
Jefferson Airplane,White Rabbit
Porcupine Tree,Arriving Somewhere but Not Here
Porcupine Tree,Milan
Porcupine Tree,Trains
Radiohead,Lift
Radiohead,Karma Police
The Seatbelts,Gateway
The Seatbelts,Tank!
quadrangle,REASON TRIANGLE
Phoria,Saving Us A Riot
Old Man Canyon,It Just Comes And Goes
Down Like Silver,Wolves
Andrew McMahon in the Wilderness,Rainy Girl
Avid Dancer,Be with You
The Paper Kites,Holes
Parachute,When You Move
Villagers,Nothing Arrived - Live from Spotify London
Lucy Rose,Shiver
The Paper Kites,Bloom - Bonus Track
Damien Rice,The Blower's Daughter
The Midnight,The Equaliser (Not Alone)
The Milk Carton Kids,Michigan
Ally Kerr,The Sore Feet Song
Above & Beyond,Satellite / Stealing Time
City and Colour,The Girl
half•alive,still feel.
Red Hot Chili Peppers,Scar Tissue
John Mayer,Love On The Weekend
Eden,rock + roll
Jane XØ,Lies
Tycho,For How Long
John Pizzarelli,"You Are Gone and I Am Here (Frankie's Final Song) - From ""The Magic Strings Of Frankie Presto: The Musical Companion"""
John Mayer,Comfortable - EP Version
Eden,Circles
Beach Weather,Swoon
Daphne Loves Derby,"Simple, Starving To Be Safe"
Broken Bells,The Changing Lights
Melissa Benoist,Moon River
Red Hot Chili Peppers,Snow (Hey Oh)
Blackfield,"1,000 People"
Ezra Vine,Celeste
XYLØ,Blk CLD
Gorillaz,Busted and Blue
鷺巣詩郎,A Cruel Angel's Thesis (Director's Edit Version)
John Mayer,I Guess I Just Feel Like
Massive Attack,Teardrop
The Greeting Committee,Hands Down
Tyler Burkhart,In the bathtub of the world
Andrew McMahon in the Wilderness,Blue Vacation
Mohit Chauhan,Phir Se Ud Chala
Cornelius,Music
Sunset Rollercoaster,Burgundy Red
Electric Youth,Breathless
"Astronauts, etc.",Up for Grabs
Wovoka Gentle,Branscombe
Day Wave,Gone
Day Wave,Drag
Tame Impala,Let It Happen
Peach Pit,Tommy's Party
The Paper Kites,Electric Indigo
The Killers,The Way It Was
The Killers,Read My Mind
Billie Eilish,Ocean Eyes - Astronomyy Remix
The Kooks,She Moves in Her Own Way
Naseer and Shahab,Za Sta Pashan Na Yam
The Killers,Miss Atomic Bomb
Oh Wonder,Body Gold
Prune Deer,Lichen
Koven.,Miracle
Vansire,Nice to See You
The Paper Kites,On the Corner Where You Live
The Midnight,The Comeback Kid
John Mayer,"Out of My Mind - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,You're Gonna Live Forever in Me
John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,"Gravity - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
John Mayer,Gravity
John Mayer,New Light
Dot Hacker,Floating Up The Stairs
Above & Beyond,Miracle
Above & Beyond,You Got To Go
Above & Beyond,Making Plans
Above & Beyond,Satellite / Stealing Time - Live At The Hollywood Bowl
John Mayer,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002"
S. Carey,More I See
The Moth & the Flame,Simple
Phoebe Bridgers,Kyoto
Tycho,Skate
Houndmouth,Sedona
Alvvays,Plimsoll Punks
Turnover,Dizzy on the Comedown
Mitski,First Love / Late Spring
Radiohead,Weird Fishes/ Arpeggi
The Japanese House,Lilo
Tennis,I Miss That Feeling
Real Estate,Darling
Snail Mail,Heat Wave
Beach House,Chariot
Big Thief,Paul
Broken Social Scene,Sweetest Kill
Turnover,Super Natural
Radiohead,True Love Waits
Sufjan Stevens,Should Have Known Better
Beach House,Lemon Glow
beabadoobee,The Moon Song
Cigarettes After Sex,Nothing's Gonna Hurt You Baby
Peach Pit,Peach Pit
Alex G,Sarah - Bonus Track
No Vacation,Yam Yam
Beach House,Wildflower
Radiohead,Videotape
Japanese Breakfast,Road Head
Spiritualized,Ladies and Gentlemen We Are Floating in Space
Aphex Twin,Avril 14th
Phoebe Bridgers,Smoke Signals
Sufjan Stevens,Death with Dignity
The Jesus and Mary Chain,Just Like Honey
Songs: Ohia,Didn't It Rain
Slowdive,Sugar For The Pill
Beach House,Myth
The Killers,Losing Touch
UFO,Space Child - 2007 Remaster
Beach House,Space Song
Fran Makes Dinner,Yellow
Radiohead,Exit Music (for a Film)
Blue Öyster Cult,Then Came the Last Days of May
Radiohead,How to Disappear Completely
Arctic Monkeys,Only Ones Who Know
The walters,I Love You So
Harvey Danger,Little Round Mirrors
Slowdive,Some Velvet Morning
Songs: Ohia,I've Been Riding With the Ghost
Doves,Kingdom of Rust
Elliott Smith,Miss Misery (Early Version)
Porcupine Tree,Heartattack in a Layby
