name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
On That Day,In the Silence,Ásgeir,2014-03-04,"['icelandic folk', 'icelandic indie', 'icelandic pop', 'indie folk']",225850,47,0.603,0.194,7,-15.252,1,0.0282,0.91,0.012,0.115,0.302,99.927,4
Dancing With Endless Love,Living Mirrors,Disperse,2013-02-19,['djent'],235453,27,0.284,0.473,9,-7.816,1,0.0344,0.31,0.783,0.154,0.106,129.424,4
shiori,shiori,jizue,2014-08-06,"['japanese jazz fusion', 'japanese post-rock', 'progressive jazz fusion']",270690,32,0.457,0.92,9,-5.675,0,0.0441,0.183,0.955,0.206,0.595,73.984,4
Forsteining,Mellomspill,Inge Bremnes,2017-02-17,"['norwegian indie', 'norwegian pop']",305586,16,0.485,0.319,0,-12.812,0,0.0332,0.372,0.218,0.148,0.06,114.899,4
Nowhere / Bloodlines Pt. I,You Haunt Me,Sir Sly,2014-09-16,"['electropop', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'shimmer pop', 'vapor soul']",271666,32,0.494,0.74,2,-6.51,1,0.0454,0.25,0.00678,0.0837,0.179,133.002,4
Seven Seas (feat. Madelyn Grant),Seven Seas,Emancipator,2015-09-25,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",239946,37,0.539,0.635,5,-8.625,0,0.031,0.608,0.156,0.13,0.153,126.016,4
Keep On Loving You,Affection,Cigarettes After Sex,2015-10-05,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",233000,52,0.455,0.37,2,-9.328,0,0.0247,0.533,0.959,0.111,0.125,73.683,4
All I Want - Manila Killa Remix,Still Life (Remixes),Dawn Golden,2014-05-16,"['lo star', 'vapor pop']",213913,46,0.699,0.857,9,-6.747,0,0.0633,0.259,0.105,0.0711,0.16,91.99,4
All I Want - Manila Killa Remix,Still Life (Remixes),Dawn Golden,2014-05-16,"['lo star', 'vapor pop']",213913,46,0.699,0.857,9,-6.747,0,0.0633,0.259,0.105,0.0711,0.16,91.99,4
The Journey,Beat Tape 2,Tom Misch,2015-08-28,['indie soul'],266819,56,0.625,0.398,9,-10.218,0,0.0338,0.279,0.747,0.0893,0.265,86.992,4
The Journey,Beat Tape 2,Tom Misch,2015-08-28,['indie soul'],266819,56,0.625,0.398,9,-10.218,0,0.0338,0.279,0.747,0.0893,0.265,86.992,4
Wise Hands,Mouth of Swords,The Safety Fire,2013-09-03,"['djent', 'progressive post-hardcore']",247560,28,0.353,0.621,9,-8.175,0,0.0316,0.335,0.0,0.144,0.25,140.1,4
The Sparrow,The Hunter,Mastodon,2011-09-27,"['alternative metal', 'hard rock', 'metal', 'nu metal', 'progressive groove metal', 'progressive metal', 'progressive sludge', 'rock', 'sludge metal', 'stoner metal']",330880,28,0.401,0.829,2,-5.916,0,0.0409,2.31e-05,0.784,0.255,0.282,124.055,4
Patience,Guiding Lights,Skyharbor,2014-11-10,"['djent', 'indian metal']",282520,27,0.422,0.49,0,-7.406,1,0.0326,0.266,2.05e-05,0.107,0.0356,132.018,3
Meet Me at the Lighthouse,We Only Part to Meet Again,Mister and Mississippi,2015-01-30,['dutch indie'],245493,34,0.327,0.525,5,-9.847,0,0.0362,0.496,0.28,0.109,0.494,99.759,4
Falling in Love,Falling in Love,Glimmer of Blooms,2016-03-17,[],194285,36,0.687,0.321,4,-11.434,1,0.0262,0.947,0.543,0.111,0.166,105.007,4
On Your Side,musicforthemorningafter,Pete Yorn,2001-03-27,"['neo mellow', 'new jersey indie', 'pop rock']",302960,34,0.458,0.822,7,-7.925,1,0.0292,0.0142,0.875,0.201,0.796,149.768,4
139 / Dead of Night,Invisible,Leeland,2016-07-22,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",357653,37,0.507,0.743,9,-7.093,1,0.0463,0.0235,0.0678,0.0822,0.0366,117.975,4
Illumo,Ode to the Author,Toska,2016-02-27,['djent'],486245,32,0.401,0.623,8,-8.524,1,0.0301,0.000379,0.793,0.171,0.203,143.196,4
