,name,id,creator
0,Ear training: Intervals - Perfect Prime,4TCFTC76ZJ5MoirLeicr3g,0zxrr00u8c7ronq8dmkkgzsfr
1,Ear training: Intervals - Major Second,03dSOaehYRlETqEeHUvaur,0zxrr00u8c7ronq8dmkkgzsfr
2,Discover Weekly Archive,2HMHUoxUgMcyBIhc2AigWN,sidsaxena
3,Byronheart Blended Daily ,7JYmWD4GmCA72LM1rMENjZ,sidsaxena
4,Byronheart + Gadha,37i9dQZF1EJwk8bMFJ86Hp,spotify
5,Dhruv + Gadha,37i9dQZF1EJDAofyoIEVRO,spotify
6,Samarth + Gadha,37i9dQZF1EJzLXmaJSWoa8,spotify
7,Twoheadedboy + Gadha,37i9dQZF1EJA9FtsyReGLU,spotify
8,woosteresque + Gadha,37i9dQZF1EJMC6i7vRuhmV,spotify
9,Nanda + Gadha,37i9dQZF1EJu04AyFmTvOk,spotify
10,Shashwat + Gadha,37i9dQZF1EJx5ncR2PUGOj,spotify
11,Udit + Gadha,37i9dQZF1EJJnrCJLcfFKP,spotify
12,Shared Tastes of Gadha Prakash and Byronheart.7,3DOwlfic6c8zsZ2jTUfnpv,xudeibo6rk4dua84p4gzx0hfl
13,INFP Playlist,53pP94ikwfDP0kD7yywF4O,42reasonstopanic
14,Daily Mix 1,37i9dQZF1E384xMRAb5F4k,spotify
15,Daily Mix 2,37i9dQZF1E35mQrigIJBb9,spotify
16,Daily Mix 3,37i9dQZF1E3a2onRCeigm3,spotify
17,Daily Mix 4,37i9dQZF1E37kKpoA0xZT0,spotify
18,Daily Mix 5,37i9dQZF1E368h8CDEm5lY,spotify
19,Daily Mix 6,37i9dQZF1E38Evk32nwLc9,spotify
20,Evergreen,4h4ViGj9auvptyhtzxNzq5,sidsaxena
21,Sleep/Study,6Tz22UKQCnp4rqu6dNzVm0,sidsaxena
22,私のアニメミックステープ (anime mikkusutēpu),0TXLXRRnylunvlJqxOtXg2,sidsaxena
23,Gadha x Nidhi Archive,5U5vVOuIEppEbt3GzwDAz9,sidsaxena
24,Peaceful Lyrical,2p9y6Nqb6HV76z1xPUmFrN,sidsaxena
25,Baked Goods,1T0c38Lch3AkvppgBecUcS,sidsaxena
